OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,GRMZM2G057459,GRMZM2G148807
KAKRNA16_Kern_4226_TTAACT,Kern,Kern,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,3.05383
10343262_LMAN8_4722_GACATC,LMAN8,LMAN,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0.20157,32.05017
KAKRNA27_10346929_L3Tip_4722_ACACGC,L3Tip,L3Tip,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0,25.66929
KAKRNA26_L3Base_4722_ACACGC,L3Base,L3Base,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0.64758,1.29517
KAKRNA17_Kern_4722_ACCTAC,Kern,Kern,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0,0.64624
10344823_GShoot_A188_AACGCC,GShoot,GShoot,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,1.18086,1.18086
10344823_LMAD8_A188_TTAACT,LMAD8,LMAD,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0,13.9107
10344826_LMAN8_A188_CCTGCT,LMAN8,LMAN,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0,7.45019
KAKRNA23_10346932_L3Base_A188_ACTCTT,L3Base,L3Base,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0,0.90289
KAKRNA24_L3Tip_A188_ACTCTT,L3Tip,L3Tip,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.48777,2.9266
KAKRNA17_Kern_A188_TGGATT,Kern,Kern,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0,2.84687
10343264_LMAD26_A214N_CGAAGG,LMAD26,LMAD,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,15.41983
10344827_LMAN26_A214N_TCGTTC,LMAN26,LMAN,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,4.81937
KAKRNA3_GShoot_A214N_ATATCC,GShoot,GShoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,1.22419,1.46903
KAKRNA4_10346258_GRoot_A214N_ATATCC,GRoot,GRoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.416,1.66398
KAKRNA27_10346929_L3Tip_A214N_CGGTTA,L3Tip,L3Tip,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,7.06797
KAKRNA26_L3Base_A214N_CGGTTA,L3Base,L3Base,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,2.05259,2.39469
10343262_LMAN8_A239_CAAGCA,LMAN8,LMAN,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,26.83568
KAKRNA3_GShoot_A239_AGGCAT,GShoot,GShoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,1.20979,2.41958
KAKRNA4_10346258_GRoot_A239_AGGCAT,GRoot,GRoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,1.47214
KAKRNA23_10346932_L3Base_A239_GCATGG,L3Base,L3Base,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0.54036,2.16145
KAKRNA24_L3Tip_A239_ATGGCG,L3Tip,L3Tip,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,12.75078
KAKRNA18_Kern_A239_CTCATA,Kern,Kern,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,1.88531
10343927_LMAD26_A441-5_CTAGTC,LMAD26,LMAD,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,18.0337
10344827_LMAN26_A441-5_AGTTGA,LMAN26,LMAN,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.72098,4.32587
KAKRNA5_GShoot_A441-5_TCGTTC,GShoot,GShoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.75696,1.51391
KAKRNA6_10346261_GRoot_A441-5_TCGTTC,GRoot,GRoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,1.49695,0
KAKRNA28_L3Base_A441-5_TAATCG,L3Base,L3Base,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.48056,1.44168
KAKRNA28_L3Mid_A441-5_GGTGAG,L3Mid,L3Mid,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,3.74836
KAKRNA28_L3Tip_A441-5_TTAACT,L3Tip,L3Tip,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,4.88503
KAKRNA17_Kern_A441-5_CGCCTG,Kern,Kern,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,0.4878
10344823_LMAD8_A554_CCTGCT,LMAD8,LMAD,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,0.94161,24.01094
10344826_LMAN8_A554_GTGTAG,LMAN8,LMAN,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,2.33747,30.38706
KAKRNA5_GShoot_A554_ACCAGT,GShoot,GShoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,1.82135,2.73202
KAKRNA6_10346261_GRoot_A554_ACCAGT,GRoot,GRoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,0.97011,0
KAKRNA20_10346930_L3Base_A554_CTCTCG,L3Base,L3Base,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,2.58221,1.03289
10344823_LMAD8_A556_TCGTTC,LMAD8,LMAD,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0.68824,26.84129
10344826_LMAN8_A556_ACAGAT,LMAN8,LMAN,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,8.77635
KAKRNA14_GShoot_A556_CGCCTG,GShoot,GShoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,2.57273
KAKRNA2_10346259_GRoot_A556_AGATAG,GRoot,GRoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0.27562,1.37811
KAKRNA23_10346932_L3Base_A556_ACAGAT,L3Base,L3Base,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,2.91947
KAKRNA24_L3Tip_A556_ACAGAT,L3Tip,L3Tip,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,9.02733
KAKRNA16_Kern_A556_ATATCC,Kern,Kern,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,2.86644
10343264_LMAD26_A6_AAGTGG,LMAD26,LMAD,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0.62792,18.52355
10344827_LMAN26_A6_ATGAAC,LMAN26,LMAN,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,10.53043
KAKRNA3_GShoot_A6_GGAGGT,GShoot,GShoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,1.56634,1.25307
KAKRNA4_10346258_GRoot_A6_GGAGGT,GRoot,GRoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,0.49748
KAKRNA20_10346930_L3Base_A6_ATGGCG,L3Base,L3Base,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,5.42146
KAKRNA21_10346931_L3Tip_A6_ATGGCG,L3Tip,L3Tip,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,4.84596
KAKRNA16_Kern_A6_ACAGAT,Kern,Kern,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,0
10344823_LMAD8_A619_AGACCA,LMAD8,LMAD,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,1.37961,18.39476
10344826_LMAN8_A619_GAGTCC,LMAN8,LMAN,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,7.5997
KAKRNA5_GShoot_A619_ATACTG,GShoot,GShoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0.99597,0.33199
KAKRNA6_10346261_GRoot_A619_ATACTG,GRoot,GRoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,0.84353
KAKRNA20_10346930_L3Base_A619_AAGCTC,L3Base,L3Base,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0.50239,5.52625
KAKRNA18_Kern_A619_ACAACG,Kern,Kern,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,0.56112
10343262_LMAN8_A632_AGGCAT,LMAN8,LMAN,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,10.62553
10344823_LMAD8_A632_GCATGG,LMAD8,LMAD,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,7.98103
KAKRNA3_GShoot_A632_ACAACG,GShoot,GShoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0.5436,0.5436
KAKRNA4_10346258_GRoot_A632_ACAACG,GRoot,GRoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0.81877,0.54585
KAKRNA23_10346932_L3Base_A632_ATATCC,L3Base,L3Base,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,1.2921
KAKRNA24_L3Tip_A632_ATATCC,L3Tip,L3Tip,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,3.66852
KAKRNA16_Kern_A632_CTAGTC,Kern,Kern,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,0
10343262_LMAN8_A634_TTGGTA,LMAN8,LMAN,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0,1.932
KAKRNA5_GShoot_A634_ACGTCT,GShoot,GShoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,1.48632,2.08085
KAKRNA6_10346261_GRoot_A634_ACGTCT,GRoot,GRoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0,0
KAKRNA20_10346930_L3Base_A634_GGTGAG,L3Base,L3Base,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,1.76016,0.29336
KAKRNA16_Kern_A634_GTGCCA,Kern,Kern,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0,1.02431
10343262_LMAN8_A635_CGGTTA,LMAN8,LMAN,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,1.18067,5.90335
KAKRNA3_GShoot_A635_ACGTCT,GShoot,GShoot,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0.9869,1.9738
KAKRNA4_10346258_GRoot_A635_ACGTCT,GRoot,GRoot,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0.28013,0.28013
KAKRNA20_10346930_L3Base_A635_CATCTA,L3Base,L3Base,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,1.71041,1.71041
KAKRNA18_Kern_A635_CCGACC,Kern,Kern,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0,3.68758
10344823_LMAD8_A641_AGTACT,LMAD8,LMAD,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.42037,16.39429
10344826_LMAN8_A641_ATGGCG,LMAN8,LMAN,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.95511,20.05738
KAKRNA14_GShoot_A641_TGGATT,GShoot,GShoot,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.63643,0.95465
KAKRNA2_10346259_GRoot_A641_GTCAGG,GRoot,GRoot,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.61565,0
KAKRNA20_10346930_L3Base_A641_TGCACG,L3Base,L3Base,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.77791,1.55582
KAKRNA18_Kern_A641_TGGATT,Kern,Kern,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0,5.6651
10344823_LMAD8_A654_TATGTC,LMAD8,LMAD,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,24.70807
10344826_LMAN8_A654_CTCCAT,LMAN8,LMAN,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,8.91512
KAKRNA14_GShoot_A654_GAGTCC,GShoot,GShoot,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0.44928,1.34785
KAKRNA2_10346259_GRoot_A654_TCTTAA,GRoot,GRoot,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,1.24396,0.41465
KAKRNA23_10346932_L3Base_A654_CGCAAC,L3Base,L3Base,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,1.06497,3.1949
KAKRNA24_L3Tip_A654_CGCAAC,L3Tip,L3Tip,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,6.12083
KAKRNA17_Kern_A654_GGTATA,Kern,Kern,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,2.7401
10344823_LMAD8_A659_GGCTGC,LMAD8,LMAD,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,1.34127,16.54232
10344826_LMAN8_A659_AATGAA,LMAN8,LMAN,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0.42134,8.84809
KAKRNA6_10346261_GRoot_A659_CCGACC,GRoot,GRoot,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,1.17084,1.17084
KAKRNA27_10346929_L3Tip_A659_CTCATA,L3Tip,L3Tip,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0,7.75821
KAKRNA26_L3Base_A659_CTCATA,L3Base,L3Base,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0,0.52992
KAKRNA17_Kern_A659_GACATC,Kern,Kern,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0,6.71554
10344823_LMAD8_A661_GTCAGG,LMAD8,LMAD,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0,15.45498
10344826_LMAN8_A661_ACCGTG,LMAN8,LMAN,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0.78454,10.9836
KAKRNA3_GShoot_A661_AGACCA,GShoot,GShoot,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0.85941,3.86736
KAKRNA4_10346258_GRoot_A661_AGACCA,GRoot,GRoot,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0,3.02348
KAKRNA23_10346932_L3Base_A661_GCGAAT,L3Base,L3Base,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0.88373,2.94577
KAKRNA24_L3Tip_A661_GCGAAT,L3Tip,L3Tip,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,2.74637,4.11956
KAKRNA17_Kern_A661_GCTCGA,Kern,Kern,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0.53583,2.67913
10344823_LMAD8_A679_TAGGCT,LMAD8,LMAD,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.42818,56.09199
10344826_LMAN8_A679_ATTGGT,LMAN8,LMAN,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,49.54592
KAKRNA3_GShoot_A679_AGATAG,GShoot,GShoot,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.68051,3.40253
KAKRNA4_10346258_GRoot_A679_AGATAG,GRoot,GRoot,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.79789,0
KAKRNA23_10346932_L3Base_A679_CCGCAA,L3Base,L3Base,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.67112,2.34891
KAKRNA24_L3Tip_A679_CCGCAA,L3Tip,L3Tip,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,31.65622
KAKRNA17_Kern_A679_CCAATT,Kern,Kern,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,2.00488
10343262_LMAN8_A680_CAGCGT,LMAN8,LMAN,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,38.20319
KAKRNA14_GShoot_A680_CCTGCT,GShoot,GShoot,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,1.18959,5.15489
KAKRNA2_10346259_GRoot_A680_AATAGC,GRoot,GRoot,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0.76309,1.52618
KAKRNA20_10346930_L3Base_A680_AGTTGA,L3Base,L3Base,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,1.8046,2.7069
KAKRNA21_10346931_L3Tip_A680_AGTTGA,L3Tip,L3Tip,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,44.04159
KAKRNA16_Kern_A680_CCGACC,Kern,Kern,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,2.04235
10343262_LMAN8_A682_ACATTA,LMAN8,LMAN,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,1.02346,9.72291
10344823_LMAD8_A682_TCGAGG,LMAD8,LMAD,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,24.3968
KAKRNA5_GShoot_A682_TTAACT,GShoot,GShoot,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0.28176,1.12704
KAKRNA6_10346261_GRoot_A682_TTAACT,GRoot,GRoot,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,1.13154,1.13154
KAKRNA23_10346932_L3Base_A682_CTAGTC,L3Base,L3Base,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0.7275,1.09126
KAKRNA24_L3Tip_A682_CTAGTC,L3Tip,L3Tip,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,0
KAKRNA18_Kern_A682_ACAGAT,Kern,Kern,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,2.9888
10343264_LMAD26_Ab28A_AGGCAT,LMAD26,LMAD,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0,29.45767
10344827_LMAN26_Ab28A_CCTAAG,LMAN26,LMAN,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0.22401,10.52848
KAKRNA3_GShoot_Ab28A_ACACGC,GShoot,GShoot,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,1.6589,0.41472
KAKRNA4_10346258_GRoot_Ab28A_ACACGC,GRoot,GRoot,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0.86454,0
KAKRNA23_10346932_L3Base_Ab28A_AACCGA,L3Base,L3Base,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0.5696,1.70879
KAKRNA24_L3Tip_Ab28A_AACCGA,L3Tip,L3Tip,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0,2.95683
KAKRNA16_Kern_Ab28A_ATAAGA,Kern,Kern,Ab28A,Ab28A,282set_Ab28A,Ab28A,Ab28A:8042MABXX:4:A5,Ames18999,0,1.70701
10343262_LMAN8_B10_TTCCGC,LMAN8,LMAN,B10,B10,282set_B10,B10,B10:8042MABXX:2:G9,NSL65865,0,20.68059
KAKRNA24_L3Tip_B10_CAGCGT,L3Tip,L3Tip,B10,B10,282set_B10,B10,B10:8042MABXX:2:G9,NSL65865,0,5.63917
KAKRNA16_Kern_B10_ACCAGT,Kern,Kern,B10,B10,282set_B10,B10,B10:8042MABXX:2:G9,NSL65865,1.17322,0.78215
10344823_LMAD8_B103_GCCACA,LMAD8,LMAD,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,0,38.92578
10344826_LMAN8_B103_ATATCC,LMAN8,LMAN,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,2.11098,24.27627
KAKRNA3_GShoot_B103_CCGACC,GShoot,GShoot,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,0,2.68913
KAKRNA4_10346258_GRoot_B103_CCGACC,GRoot,GRoot,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,0.57804,2.89021
KAKRNA23_10346932_L3Base_B103_ACCAGT,L3Base,L3Base,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,0.8142,3.66389
KAKRNA24_L3Tip_B103_ACCAGT,L3Tip,L3Tip,B103,B103,282set_B103,B103,B103:8042MABXX:2:D5,PI594046,0,12.58032
10343262_LMAN8_B104_GTGCCA,LMAN8,LMAN,B104,B104,282set_B104,B104,B104:8042MABXX:2:B3,PI594047,0.46708,31.29416
KAKRNA3_GShoot_B104_GCGAAT,GShoot,GShoot,B104,B104,282set_B104,B104,B104:8042MABXX:2:B3,PI594047,2.88733,0.82495
KAKRNA4_10346258_GRoot_B104_GCGAAT,GRoot,GRoot,B104,B104,282set_B104,B104,B104:8042MABXX:2:B3,PI594047,0,0.31492
KAKRNA17_Kern_B104_TTCGAG,Kern,Kern,B104,B104,282set_B104,B104,B104:8042MABXX:2:B3,PI594047,0,1.65672
10343262_LMAN8_B105_ATACTG,LMAN8,LMAN,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,0,29.82342
KAKRNA3_GShoot_B105_TTCGAG,GShoot,GShoot,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,1.58846,2.64743
KAKRNA4_10346258_GRoot_B105_TTCGAG,GRoot,GRoot,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,0.76204,0.76204
KAKRNA23_10346932_L3Base_B105_TTCGAG,L3Base,L3Base,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,1.42095,2.36825
KAKRNA24_L3Tip_B105_TTCGAG,L3Tip,L3Tip,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,0,38.82862
KAKRNA17_Kern_B105_AATCCG,Kern,Kern,B105,B105,282set_B105,B105,B105:8042MABXX:3:H3,PI594048,0,6.73634
10343262_LMAN8_B109_TGCTAT,LMAN8,LMAN,B109,B109,282set_B109,B109,B109:8042MABXX:2:D1,PI597927,0,33.1633
KAKRNA14_GShoot_B109_GCGAAT,GShoot,GShoot,B109,B109,282set_B109,B109,B109:8042MABXX:2:D1,PI597927,1.31869,3.29674
KAKRNA2_10346259_GRoot_B109_ACATTA,GRoot,GRoot,B109,B109,282set_B109,B109,B109:8042MABXX:2:D1,PI597927,1.14684,2.86709
KAKRNA20_10346930_L3Base_B109_GTAGAA,L3Base,L3Base,B109,B109,282set_B109,B109,B109:8042MABXX:2:D1,PI597927,1.63511,4.25128
KAKRNA21_10346931_L3Tip_B109_GTAGAA,L3Tip,L3Tip,B109,B109,282set_B109,B109,B109:8042MABXX:2:D1,PI597927,0,25.39356
10343262_LMAN8_B14A_CTCTCG,LMAN8,LMAN,B14A,B14A,282set_B14A,B14A,B14A:8042MABXX:3:E6,PI550461,0,3.36406
KAKRNA5_GShoot_B14A_AATGAA,GShoot,GShoot,B14A,B14A,282set_B14A,B14A,B14A:8042MABXX:3:E6,PI550461,0.69365,1.15608
KAKRNA6_10346261_GRoot_B14A_AATGAA,GRoot,GRoot,B14A,B14A,282set_B14A,B14A,B14A:8042MABXX:3:E6,PI550461,0.18257,2.92117
