Genotype	X.1060..pyruvic.acid..6.714	X.971..oxalic.acid..7.883	X.6287..L.valine.2..9.151	X.700..ethanolamine..9.879	X.6106..L.leucine.2..9.945	X.938..nicotinic.acid..10.27	X.791..DL.isoleucine.2..10.225	X.444266..maleic.acid..10.323	X.439194..glyceric.acid..10.735	X.444972..fumaric.acid..10.94	X.439742..beta.cyano.L.alanine..11.288	X.6288..L.threonine.2..11.464	X.239..Beta..alanine..1..12.044	X.12647..L.homoserine.2..12.359	X.5960..aspartic.acid.2..13.207	X.5810..trans.4.hydroxy.L.proline.2..13.267	X.119..gamma.aminobutyric.acid..GABA...13.326	X.5460407..threonic.acid..13.652	X.1001..phenethylamine..13.742	X.51..alpha.ketoglutaric.acid..13.859	X.738..L.glutamine.2..14.083	X.236..L.asparagine.2..14.984	X.2724705..1.6.anhydro.glucose..15.326	X.6912..xylitol..15.376	X.827..ribitol..15.66	X.754..glycerol.1.phosphate..16.056	X.439183..3.phosphoglyceric.acid..16.504	X.6262..L.ornithine.2..16.632	X.9750..citrulline.2..16.691	X.835..dehydroascorbic.acid..1..16.863	X.204..allantoin.1..17.293	X.448388..D.allose.1..17.278	X.5962..L.lysine.2..17.643	X.637542..4.hydroxycinnamic.acid..17.854	X.6057..tyrosine.2..17.871	X.128869..galactonic.acid.2..18.504	X.5460673..D.saccharic.acid..18.614	X.3037582..mucic.acid..18.907	X.1549111..caffeic.acid..19.755	X.5280450..linoleic.acid..20.399	X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65	X.439958..D.glucose.6.phosphate.1..21.394	X.60961..adenosine..23.825	X.5460935..turanose.1..24.81	X.6255..maltose.1..24.702	X.6255..maltose..2..24.915	X.642609..trans.caftaric.acid.2..25.529	X.6537496..chlorogenic.acid.1..26.37	X.439451..galactinol.2..26.479	X.2116..alpha.tocophereol..27.379	X.6537496..chlorogenic.acid.2..27.18._alt	X.5321515..stigmasterol..28.442	X.5321342..beta.sitosterol..28.848	X.439242..Raffinose..29.282	X.750..glycine..10.456..s100	X.5951..L.serine.2..11.174..s100	X.92824..D.malic.acid..12.794..s100	X.33032..L.glutamic.acid.3..dehydrated...13.232..s100	X.444212..trans.aconitic.acid..15.842..s100	X.8742..shikimic.acid..16.433..s100	X.311..citric.acid..16.615..s100	X.6508..quinic.acid..17.076..s100	X.5984..fructose.1..17.18..s100	X.892..myo.inositol..19.354..s100	X.5988..Sucrose..23.988..s100	X.6537496..chlorogenic.acid.2..27.18..s100
A556	0.008314712	0.000147146	0.009625897	0.008234221	0.005076956	0.000547783	0.004782033	9.53E-05	0.010178029	0.006370114	0.000205893	0.01097029	0.003538293	0.001442675	0.096967655	0.000851641	0.019949727	0.011350133	0.001795318	0.008033625	0.000429339	0.000766643	0.004518657	0.00365397	0.020408163	0.020045241	0.009698323	0.001826392	0.001016973	0.000915766	0.000741263	0.001404564	0.000229772	0.004209897	0.009669621	0.000837646	0.00161441	0.011314552	0.028196283	5.43E-05	0.000129513	0.012375329	0.000335248	0.0016832	0.002011016	0.002609007	6.88E-05	0.00134724	0.030061101	0.001301617	0.003449579	0.000479547	0.003171655	0.027286842	0.069368132	0.030759419	0.044029631	0.008861117	0.01299426	0.017495339	0.026755053	0.010486166	0.021941228	0.064315149	0.453824078	0.001992985
A619	0.017660368	9.75E-05	0.01165317	0.013262303	0.00366995	0.000375019	0.003819834	4.54E-05	0.012167174	0.004011654	0.000974064	0.011710932	0.004805475	0.001166684	0.072440023	0.001552787	0.002612138	0.004703807	0.001360659	0.00642409	0.000556924	0.004753871	0.001815177	NA	0.021691974	0.014630352	0.003725125	0.001839809	0.000692338	0.002350118	0.005918092	0.000337394	0.000387212	0.002439531	0.013223939	0.000459629	0.000829229	0.002916833	0.014777834	0.000706994	0.000126299	0.016949125	0.000171006	0.00088151	0.003007355	0.004586622	0.00149989	0.000222363	0.004572397	0.001638937	0.004446344	0.000603417	0.004056546	0.005429829	0.078491724	0.076772	0.014651854	0.009653906	0.01048934	0.036886127	0.020651345	0.003908464	0.085268023	0.044976647	0.479001778	0.002364621
A632	0.017907505	0.000707428	0.01051018	0.005849501	0.002110901	0.00156088	0.002127371	0.000119511	0.007484766	0.007604813	0.000374201	0.006511333	0.003097121	0.001470962	0.076641734	0.000402724	0.025963716	0.007701292	0.00093922	0.013262024	0.000731799	0.001294674	0.002233023	0.001800439	0.021052632	0.01624981	0.012795829	0.003099063	0.001781491	0.002484968	0.002408708	0.000954753	0.000813013	0.002982966	0.015565683	0.000851176	0.001013404	0.004903184	0.013576503	0.000346081	0.000152051	0.014157523	0.000419529	0.037097967	0.003386895	0.003153161	0.000928775	0.000238554	0.01328298	0.000971826	0.009943756	0.0004674	0.002585867	0.008398007	0.068763348	0.047014423	0.030712969	0.013598198	0.006137913	0.025961792	0.035323718	0.010420994	0.048693719	0.048237325	0.953406863	0.006331003
A634	0.003268724	0.000302919	0.011946273	0.00337314	0.003800845	0.001018835	0.003536856	6.76E-05	0.007819687	0.009948642	0.00025681	0.012727617	0.002390725	0.001739887	0.078447907	0.000453736	0.007892937	0.007176028	0.001156462	0.006016473	0.00060683	0.001397513	0.001471171	0.002605862	0.019193858	0.004251897	0.002306212	0.001805082	0.000912259	0.001403466	0.001576404	0.000428406	0.000428289	0.004332267	0.010902224	0.000590429	0.000194825	0.003525242	0.006262719	NA	0.00016786	0.011937518	7.85E-05	0.003300066	0.002939131	0.002382729	0.000525468	0.000153619	0.005138475	NA	0.018424712	NA	NA	0.00372532	0.067551464	0.059892114	0.040601226	0.010709748	0.015609792	0.025579682	0.008781266	0.017695949	0.057526994	0.030649529	0.747456738	0.001795065
A635	0.003452962	0.000243032	0.015210906	0.004451802	0.005389582	NA	0.00484537	1.72E-05	0.007720429	0.010541518	0.000735912	0.014823	0.002193228	0.001952394	0.083344846	0.00079384	0.009369005	0.007970497	0.003618721	0.004471368	0.000572352	0.004894394	0.000911619	NA	0.020876827	0.021445551	0.002330187	0.004630697	0.001842199	0.001676495	0.00940286	0.000503212	0.001089854	0.00130035	0.018981097	0.000508104	0.000912828	0.003173546	0.006752806	0.001719034	0.000240614	0.017123894	0.000136355	0.003248127	0.004336057	0.002741067	0.00116394	0.000499695	0.002886821	0.001264571	0.02844106	0.001120301	0.00471484	0.001561904	0.117916837	0.11456148	0.042395622	0.012642506	0.023299189	0.052906792	0.022614422	0.019687044	0.068938894	0.043277259	1.013583205	0.005846196
A641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A654	0.00847244	0.0002989	0.008382317	0.002618308	0.000534225	0.001010185	0.000428821	2.89E-05	0.018716766	0.006938557	0.003094268	0.010151387	0.004477178	0.001874982	0.053781581	0.000898501	0.006632177	0.006455487	8.27E-05	0.005625086	0.000471666	0.026897093	0.001577098	0.003626554	0.018867925	0.016626127	0.005987976	0.003518933	0.001425755	0.000998919	0.013269617	0.000833356	0.000700989	0.004369234	0.022126324	0.000637506	0.000277801	0.005977311	0.015010986	0.001135904	0.000144879	0.016570308	0.000218981	0.001711127	0.003135266	0.001804066	0.000804916	0.000770197	0.005726658	0.000917661	0.004077028	0.000712346	0.003690268	0.003478905	0.160496705	0.076909413	0.029925561	0.008359839	0.020433313	0.039112503	0.034233154	0.006639023	0.02150466	0.026844743	0.606882157	NA
A659	0.016130412	0.000292258	0.013677772	NA	0.004678354	0.000344727	0.004544005	6.50E-05	0.013349442	0.009315994	0.005392629	0.015044571	0.003991423	0.002227329	0.060687175	0.00421966	0.003756728	0.005860656	0.001825795	0.007487475	0.000587241	0.033932241	0.001915798	0.002170168	0.01980198	0.005864036	0.00317761	0.00478551	0.001861867	0.002279999	0.013916049	NA	0.000520596	0.001524355	0.016084956	0.000641626	0.00111934	0.004026435	0.00927407	0.000390586	0.000159776	0.017520367	0.000101405	0.002580178	0.002668113	0.004022046	8.24E-05	3.20E-05	0.014802763	NA	0.003505991	NA	NA	0.011219684	0.153031375	0.037251939	0.023316617	0.006889975	0.007950795	0.034123055	0.015408684	0.031963911	0.052665981	0.055618062	0.781588873	0.000825083
A661	0.004778136	0.000298497	0.014075166	0.007959435	0.005227896	0.00037833	0.003921498	0.000109418	0.034507003	0.006773103	0.007441239	0.010616725	0.003556291	0.0040525	0.090089745	0.000543349	0.002852872	0.011318935	0.001667461	0.005711327	0.000523262	0.040012156	0.002592709	0.004201173	0.018018018	0.01890286	0.010084829	0.005241019	0.004124966	0.000621686	0.005920839	0.000964963	0.001464108	0.004790281	0.015371607	0.001560288	0.00319471	0.042011786	0.027408062	0.00013601	0.000661689	0.011232597	0.000222232	0.002751742	0.001857691	0.004560796	4.84E-05	0.000361581	0.026578246	0.000498627	0.052122459	0.001752417	0.001788506	0.021063883	0.145509485	0.169621174	0.040568519	0.014778132	0.020653573	0.082681439	0.027351575	0.080085054	0.028487494	0.102518046	0.809848358	0.006966594
A679	0.010185332	0.000370406	0.029031171	0.01249228	0.010323887	0.00030313	0.010618566	2.89E-06	0.011454065	0.011761643	0.000561892	0.018549381	0.008969586	0.003516411	0.092077983	0.000632226	0.035499544	0.01167752	0.003451359	0.005081213	0.001375206	0.003104806	0.001387438	NA	0.019646365	0.029222824	0.004318272	0.004698352	0.001832237	0.001364809	0.010399614	0.001252998	0.001282466	0.002548585	0.015378634	0.000996849	0.003716626	0.008109179	0.012727634	0.001547454	0.00028784	0.026744573	0.000662472	0.004772077	0.007839909	0.003719128	0.000804029	0.012592749	0.034183607	0.000648961	0.068153099	0.003516633	0.005517171	0.013798431	0.169234281	0.141913821	0.037721477	0.01376555	0.022731944	0.101835464	0.021530731	0.109668961	0.06914086	0.063624393	0.899850219	0.068292611
A680	0.006726593	9.03E-05	0.015990596	0.00581866	0.002044528	0.000484671	0.003045545	3.81E-05	0.005857714	0.010192405	0.001062205	0.011993127	0.003439073	0.00203604	0.058199307	0.000430307	0.003360579	0.007412522	0.002546395	0.00389451	0.000981158	0.00679355	0.001143251	0.001661151	0.018518519	0.013342018	0.006400188	0.002926998	0.000883081	0.001898189	0.003361189	0.000881195	0.000719046	0.002615293	0.0186587	0.0003603	0.001254365	0.005130125	0.011450042	0.000633007	8.69E-05	0.017915412	0.000183506	0.000618417	0.003157269	0.002163019	0.001018991	0.00022206	0.005436726	0.000888795	0.011340039	0.000776461	0.003203922	0.00157844	0.204513474	0.106951635	0.024930307	0.010035842	0.003743528	0.025625028	0.013500597	NA	0.037740608	0.036430816	0.58615868	0.006097615
A682	0.007051437	0.000110845	0.005941821	0.002341751	0.000630297	0.000434788	0.001237292	3.29E-05	0.009808264	0.005053139	0.00021512	0.009581569	0.005085589	0.002203763	0.057523282	0.000617913	0.002431065	0.003280575	0.000490085	0.005806007	0.000176352	0.001655198	0.002196586	0.000987145	0.018050542	0.005920593	0.003340167	0.004320994	0.001950887	0.00248631	0.002380115	0.000634745	0.000520664	0.000979815	0.012262731	0.000443482	0.000713089	0.001912068	0.007562295	0.001732633	9.87E-05	0.010906051	0.000136522	0.001177699	0.003452479	0.001756794	9.48E-05	0.000189493	0.049801264	NA	0.003243626	NA	NA	0.03406518	0.138486496	0.045509071	0.041082119	0.008179866	0.031771238	0.044423754	0.01125874	0.000217063	0.076611982	0.037683362	0.520838093	0.00686606
Ab28A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B14A	0.004908373	0.000364366	0.014787355	0.005448354	0.004761428	0.00172558	0.003952881	4.30E-05	0.006478468	0.012123764	0.001785267	0.019825941	0.004296019	0.002303621	0.066768184	0.000851852	0.024225501	0.010776235	0.000590577	0.005035639	0.000794412	0.010567955	0.001768934	0.001708548	0.019685039	0.030292552	0.004931949	0.004018662	0.001383241	0.000861342	0.004625372	0.001087703	0.000698763	0.002568142	0.019233316	0.000743915	0.000901299	0.004259058	0.009474208	0.000485338	0.000198491	0.018365331	0.000563006	0.002566893	0.003571034	0.002687366	0.001218865	0.00063548	0.008386605	0.000811644	0.029608773	0.000975621	0.004011419	0.00577471	0.086295127	0.072396089	0.034305353	0.009866211	0.009987301	0.030230408	0.01769495	0.047172493	0.039628053	0.037011454	0.726566959	0.004517187
B37	0.004152137	8.81E-05	0.015452641	0.005050339	0.002270007	0.00041489	0.001510498	1.45E-05	0.014767894	0.003509262	0.003932011	0.006766235	0.007056566	0.00251021	0.073318315	0.00213706	0.020770657	0.007792959	0.001529717	0.003057519	0.000795965	0.035859593	0.002625722	0.001857957	0.020833333	0.02405735	0.006481188	0.003492355	0.001706122	0.001373457	0.009753747	0.001078569	0.000814458	0.002007283	0.027248147	0.000134466	0.000929441	0.002250789	0.008833685	0.000990268	9.40E-05	0.031380536	0.000238288	0.00055464	0.004564121	0.002399454	0.000891399	0.001497752	0.042062008	0.000660707	0.041752194	0.001024677	0.003879242	0.019259697	0.085207063	0.082544673	0.014269986	0.009956174	0.008230649	0.042952871	0.01227981	0.053205454	0.10376969	0.060673908	0.906345274	0.01511687
B46	0.015421975	0.000140829	0.051106718	0.019011224	0.018990773	0.003305019	0.022259973	1.81E-05	0.007827967	0.002021636	0.018998672	0.02253306	0.005137209	0.004479413	0.061705655	0.000531967	0.002839793	0.006649777	0.000373075	0.007716406	0.005299591	0.075733358	0.001119042	NA	0.019120459	0.023530744	0.002222164	0.030862992	0.006153629	0.004721579	0.051453097	0.002294355	0.001769918	0.005761389	0.01367912	0.000803401	0.001516793	0.005357944	0.009405746	0.000275291	0.002584769	0.043155494	0.000217122	NA	0.004031882	0.001688544	NA	0.01203007	0.009543514	0.005278283	0.076895139	0.00067145	0.003835579	0.00584656	0.10492633	0.183826341	0.009875155	0.021932291	0.015032055	0.106669666	0.03475987	0.098594084	0.237526712	0.080688337	4.808559217	0.007170172
B52	0.013531054	0.000111491	0.020753658	0.004212943	0.002366399	0.000908375	0.003192362	NA	0.01268346	0.005083896	0.001153822	0.010125423	0.003318929	0.001229142	0.073001655	0.001532093	0.026090628	0.007130301	9.26E-05	0.007762362	0.000569909	0.005202478	0.004836422	0.000441376	0.02004008	0.011282463	0.002117436	0.003346936	0.001933186	0.002248055	0.014281399	0.000807908	0.000561626	0.00128319	0.0150206	0.000739321	0.000691411	0.001010272	0.008086764	0.001047813	0.000101599	0.008627952	0.000717809	0.000956404	0.002866052	0.00083371	0.000285908	0.005379397	0.00561829	0.000617819	0.014616766	0.000280009	0.002118032	0.003894559	0.04833877	0.041768452	0.01035526	0.011141504	0.012476291	0.032284764	0.016291708	0.010099274	0.069347942	0.043462838	0.656525947	0.010672196
B57	0.008480734	0.000191354	0.004015233	0.005231963	0.0026312	0.000799843	0.002319296	7.29E-05	0.017150427	0.006687897	0.000144551	0.009973392	0.003545406	0.001283342	0.07279083	0.000169349	0.004584255	0.0071696	0.000405859	0.008387627	0.00045381	0.000348279	0.002625711	NA	0.020120724	0.023200096	0.003655928	0.003445813	0.00138059	0.00187801	0.001427393	0.000353168	0.000392986	0.001672037	0.011141074	0.000307363	0.000928527	0.00682192	0.007890956	0.001396657	9.72E-05	0.010087606	0.000174089	0.001866185	0.003996173	0.004242063	0.000185466	0.000361252	0.014729691	0.001519752	0.003077775	0.000598061	0.004372992	0.01495697	0.043585496	0.053735221	0.025468378	0.008799877	0.025190883	0.061749647	0.019024855	0.122262326	0.054040936	0.043905321	0.462428616	0.001707298
B64	0.003351615	0.000259278	0.013426165	0.005488102	0.001994369	0.00116169	0.00247833	9.10E-06	0.007001813	0.008257166	0.000263231	0.008993367	0.007478519	0.003308681	0.057407809	0.001253242	0.014365826	0.014564575	0.0186244	0.00557608	0.000625267	0.002047752	0.001318102	0.001196881	0.020408163	0.003861563	0.003916299	0.001795349	0.000713679	0.000732032	0.02491286	0.000923148	0.000741398	0.001757992	0.019315123	0.00025132	0.001257248	0.005935843	0.00766709	0.000154841	0.000120841	0.021282693	0.000248883	0.001950516	0.00305146	0.004903224	0.008577623	0.000200265	0.007023307	NA	0.01576752	NA	NA	0.010913348	0.207400315	0.068705168	0.013998988	0.007411229	0.00344766	0.025130713	0.011171411	0.012570317	0.03679819	0.035305031	0.736499559	0.000605201
