TF_ID	Gene_ID_V3	Family	Gene_ID_V4
GRMZM2G011832_P01	GRMZM2G011832	Dof	Zm00001d033093
GRMZM2G011932_P01	GRMZM2G011932	bZIP	Zm00001d039065
GRMZM2G011932_P02	GRMZM2G011932	bZIP	Zm00001d039065
GRMZM2G011932_P03	GRMZM2G011932	bZIP	Zm00001d039065
GRMZM2G011932_P04	GRMZM2G011932	bZIP	Zm00001d039065
GRMZM2G011947_P01	GRMZM2G011947	GRAS	Zm00001d035873
GRMZM2G012262_P01	GRMZM2G012262	Whirly	Zm00001d053855
GRMZM2G012262_P02	GRMZM2G012262	Whirly	Zm00001d053855
GRMZM2G012654_P01	GRMZM2G012654	NF-YB	Zm00001d019865
GRMZM2G012724_P01	GRMZM2G012724	WRKY	Zm00001d038023
GRMZM2G012724_P02	GRMZM2G012724	WRKY	Zm00001d038023
GRMZM2G012724_P03	GRMZM2G012724	WRKY	Zm00001d038023
GRMZM2G012724_P04	GRMZM2G012724	WRKY	Zm00001d038023
GRMZM2G013016_P01	GRMZM2G013016	GRAS	Zm00001d042472
GRMZM2G013391_P01	GRMZM2G013391	WRKY	Zm00001d012746
GRMZM2G013688_P01	GRMZM2G013688	bHLH	Zm00001d021164
GRMZM2G014653_P01	GRMZM2G014653	NAC	Zm00001d042609
GRMZM2G014653_P02	GRMZM2G014653	NAC	Zm00001d042609
GRMZM2G014653_P03	GRMZM2G014653	NAC	Zm00001d042609
GRMZM2G014653_P04	GRMZM2G014653	NAC	Zm00001d042609
GRMZM2G015037_P01	GRMZM2G015037	TCP	Zm00001d008919
GRMZM2G015037_P02	GRMZM2G015037	TCP	Zm00001d008919
GRMZM2G015080_P01	GRMZM2G015080	GRAS	Zm00001d005029
GRMZM2G015080_P02	GRMZM2G015080	GRAS	Zm00001d005029
GRMZM2G015097_P01	GRMZM2G015097	CPP	Zm00001d031008
GRMZM2G015433_P01	GRMZM2G015433	WRKY	Zm00001d010805
GRMZM2G015534_P01	GRMZM2G015534	bZIP	Zm00001d018971
GRMZM2G015534_P02	GRMZM2G015534	bZIP	Zm00001d018971
GRMZM2G015534_P03	GRMZM2G015534	bZIP	Zm00001d018971
GRMZM2G015666_P01	GRMZM2G015666	bHLH	Zm00001d005939
GRMZM2G016039_P01	GRMZM2G016039	bHLH	NA
GRMZM2G016039_P02	GRMZM2G016039	bHLH	NA
GRMZM2G016039_P03	GRMZM2G016039	bHLH	NA
GRMZM2G016150_P01	GRMZM2G016150	bZIP	Zm00001d034457
GRMZM2G016637_P01	GRMZM2G016637	Trihelix	Zm00001d035457
GRMZM2G016649_P01	GRMZM2G016649	Trihelix	Zm00001d002801
GRMZM2G016649_P02	GRMZM2G016649	Trihelix	Zm00001d002801
GRMZM2G016649_P03	GRMZM2G016649	Trihelix	Zm00001d002801
GRMZM2G016756_P01	GRMZM2G016756	bHLH	Zm00001d013130
GRMZM2G017145_P02	GRMZM2G017145	bHLH	Zm00001d022225
GRMZM2G017145_P04	GRMZM2G017145	bHLH	Zm00001d022225
GRMZM2G017145_P05	GRMZM2G017145	bHLH	Zm00001d022225
GRMZM2G017319_P01	GRMZM2G017319	LBD	Zm00001d033347
GRMZM2G017349_P01	GRMZM2G017349	bHLH	Zm00001d045212
GRMZM2G017470_P01	GRMZM2G017470	Dof	Zm00001d034651
GRMZM2G017586_P01	GRMZM2G017586	bHLH	NA
GRMZM2G017586_P02	GRMZM2G017586	bHLH	NA
GRMZM2G017606_P01	GRMZM2G017606	SRS	Zm00001d053208
GRMZM2G018254_P01	GRMZM2G018254	GRAS	Zm00001d048588
GRMZM2G018436_P01	GRMZM2G018436	NAC	Zm00001d005028
GRMZM2G018472_P01	GRMZM2G018472	bHLH	Zm00001d030971
GRMZM2G018487_P01	GRMZM2G018487	WRKY	Zm00001d033965
GRMZM2G018487_P02	GRMZM2G018487	WRKY	Zm00001d033965
GRMZM2G018553_P01	GRMZM2G018553	NAC	NA
GRMZM2G018553_P02	GRMZM2G018553	NAC	NA
GRMZM2G018721_P01	GRMZM2G018721	WRKY	Zm00001d018656
GRMZM2G019060_P01	GRMZM2G019060	GRAS	Zm00001d006721
GRMZM2G019106_P01	GRMZM2G019106	bZIP	Zm00001d053967
GRMZM2G019446_P01	GRMZM2G019446	bZIP	Zm00001d034447
GRMZM2G019446_P02	GRMZM2G019446	bZIP	Zm00001d034447
GRMZM2G019806_P01	GRMZM2G019806	bHLH	Zm00001d033848
GRMZM2G019907_P02	GRMZM2G019907	bZIP	Zm00001d043153
GRMZM2G019907_P03	GRMZM2G019907	bZIP	Zm00001d043153
GRMZM2G020254_P01	GRMZM2G020254	WRKY	Zm00001d024323
GRMZM2G020254_P02	GRMZM2G020254	WRKY	Zm00001d024323
GRMZM2G020254_P03	GRMZM2G020254	WRKY	Zm00001d024323
GRMZM2G020799_P01	GRMZM2G020799	bZIP	Zm00001d017911
GRMZM2G020805_P01	GRMZM2G020805	TCP	Zm00001d007868
GRMZM2G020805_P02	GRMZM2G020805	TCP	Zm00001d007868
GRMZM2G021095_P01	GRMZM2G021095	LBD	Zm00001d028721
GRMZM2G021276_P01	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021276_P02	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021276_P03	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021276_P04	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021276_P05	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021276_P06	GRMZM2G021276	bHLH	Zm00001d008174
GRMZM2G021831_P01	GRMZM2G021831	Trihelix	Zm00001d003549
GRMZM2G022162_P01	GRMZM2G022162	NF-YC	Zm00001d005993
GRMZM2G023119_P01	GRMZM2G023119	Trihelix	Zm00001d030350
GRMZM2G023119_P02	GRMZM2G023119	Trihelix	Zm00001d030350
GRMZM2G023872_P01	GRMZM2G023872	GRAS	Zm00001d009646
GRMZM2G024530_P01	GRMZM2G024530	bHLH	Zm00001d045046
GRMZM2G024851_P01	GRMZM2G024851	bZIP	Zm00001d041831
GRMZM2G024898_P01	GRMZM2G024898	WRKY	Zm00001d002452
GRMZM2G024973_P01	GRMZM2G024973	GRAS	Zm00001d013465
GRMZM2G025002_P01	GRMZM2G025002	GATA	Zm00001d005005
GRMZM2G025642_P01	GRMZM2G025642	NAC	Zm00001d027459
GRMZM2G025642_P02	GRMZM2G025642	NAC	Zm00001d027459
GRMZM2G025685_P01	GRMZM2G025685	HSF	Zm00001d022295
GRMZM2G025685_P02	GRMZM2G025685	HSF	Zm00001d022295
GRMZM2G025758_P01	GRMZM2G025758	LBD	Zm00001d043311
GRMZM2G025812_P01	GRMZM2G025812	bZIP	Zm00001d046718
GRMZM2G025812_P02	GRMZM2G025812	bZIP	Zm00001d046718
GRMZM2G025895_P01	GRMZM2G025895	WRKY	NA
GRMZM2G025989_P01	GRMZM2G025989	LBD	NA
GRMZM2G026157_P01	GRMZM2G026157	NF-YA	Zm00001d013501
GRMZM2G026417_P01	GRMZM2G026417	GeBP	Zm00001d029287
GRMZM2G026742_P01	GRMZM2G026742	HSF	Zm00001d048041
GRMZM2G026742_P02	GRMZM2G026742	HSF	Zm00001d048041
GRMZM2G026742_P03	GRMZM2G026742	HSF	Zm00001d048041
GRMZM2G026742_P04	GRMZM2G026742	HSF	Zm00001d048041
GRMZM2G027068_P01	GRMZM2G027068	bHLH	Zm00001d034596
GRMZM2G027309_P01	GRMZM2G027309	NAC	NA
GRMZM2G027309_P02	GRMZM2G027309	NAC	NA
GRMZM2G027563_P01	GRMZM2G027563	bHLH	Zm00001d020490
GRMZM2G027563_P02	GRMZM2G027563	bHLH	Zm00001d020490
GRMZM2G027972_P01	GRMZM2G027972	WRKY	Zm00001d052847
GRMZM2G027976_P01	GRMZM2G027976	bZIP	Zm00001d043420
GRMZM2G028039_P02	GRMZM2G028039	GRAS	NA
GRMZM2G028438_P01	GRMZM2G028438	GRAS	Zm00001d051461
GRMZM2G028608_P01	GRMZM2G028608	GRAS	Zm00001d003553
GRMZM2G029282_P01	GRMZM2G029282	WRKY	Zm00001d012507
GRMZM2G029292_P02	GRMZM2G029292	WRKY	Zm00001d012508
GRMZM2G029292_P03	GRMZM2G029292	WRKY	Zm00001d012508
GRMZM2G029979_P01	GRMZM2G029979	bZIP	NA
GRMZM2G030272_P01	GRMZM2G030272	WRKY	Zm00001d028962
GRMZM2G030280_P01	GRMZM2G030280	bZIP	Zm00001d008225
GRMZM2G030280_P02	GRMZM2G030280	bZIP	Zm00001d008225
GRMZM2G030325_P01	GRMZM2G030325	NAC	Zm00001d035076
GRMZM2G030458_P01	GRMZM2G030458	GeBP	Zm00001d047421
GRMZM2G030744_P01	GRMZM2G030744	bHLH	Zm00001d018416
GRMZM2G030744_P02	GRMZM2G030744	bHLH	Zm00001d018416
GRMZM2G030744_P03	GRMZM2G030744	bHLH	Zm00001d018416
GRMZM2G030762_P02	GRMZM2G030762	bHLH	Zm00001d012067
GRMZM2G030877_P01	GRMZM2G030877	bZIP	Zm00001d052543
GRMZM2G031001_P01	GRMZM2G031001	NAC	Zm00001d028995
GRMZM2G031200_P01	GRMZM2G031200	NAC	Zm00001d039004
GRMZM2G031200_P02	GRMZM2G031200	NAC	Zm00001d039004
GRMZM2G031398_P01	GRMZM2G031398	Nin-like	Zm00001d003176
GRMZM2G031398_P02	GRMZM2G031398	Nin-like	Zm00001d003176
GRMZM2G031493_P01	GRMZM2G031493	Trihelix	Zm00001d042271
GRMZM2G031905_P01	GRMZM2G031905	TCP	Zm00001d035482
GRMZM2G031963_P01	GRMZM2G031963	WRKY	Zm00001d025669
GRMZM2G031983_P01	GRMZM2G031983	GATA	Zm00001d016361
GRMZM2G032336_P01	GRMZM2G032336	CAMTA	Zm00001d021516
GRMZM2G033014_P01	GRMZM2G033014	NAC	Zm00001d018702
GRMZM2G033230_P01	GRMZM2G033230	bZIP	Zm00001d010667
GRMZM2G033230_P02	GRMZM2G033230	bZIP	Zm00001d010667
GRMZM2G033356_P01	GRMZM2G033356	bHLH	Zm00001d049294
GRMZM2G033413_P01	GRMZM2G033413	bZIP	Zm00001d044940
GRMZM2G033570_P01	GRMZM2G033570	EIL	Zm00001d028974
GRMZM2G034421_P01	GRMZM2G034421	WRKY	Zm00001d010616
GRMZM2G034638_P01	GRMZM2G034638	TCP	Zm00001d011985
GRMZM2G034868_P01	GRMZM2G034868	FAR1	Zm00001d041923
GRMZM2G034868_P02	GRMZM2G034868	FAR1	Zm00001d041923
GRMZM2G035156_P01	GRMZM2G035156	bHLH	Zm00001d027855
GRMZM2G035944_P01	GRMZM2G035944	TCP	Zm00001d010730
GRMZM2G035944_P02	GRMZM2G035944	TCP	Zm00001d010730
GRMZM2G036092_P01	GRMZM2G036092	bHLH	Zm00001d018056
GRMZM2G036297_P01	GRMZM2G036297	SBP	Zm00001d002005
GRMZM2G036554_P01	GRMZM2G036554	bHLH	Zm00001d024781
GRMZM2G036554_P02	GRMZM2G036554	bHLH	Zm00001d024781
GRMZM2G036703_P01	GRMZM2G036703	WRKY	Zm00001d012482
GRMZM2G036966_P01	GRMZM2G036966	GeBP	Zm00001d035234
GRMZM2G036966_P02	GRMZM2G036966	GeBP	Zm00001d035234
GRMZM2G037128_P01	GRMZM2G037128	Trihelix	Zm00001d054080
GRMZM2G037128_P02	GRMZM2G037128	Trihelix	Zm00001d054080
GRMZM2G037286_P01	GRMZM2G037286	GRAS	Zm00001d038518
GRMZM2G037493_P01	GRMZM2G037493	Trihelix	Zm00001d031391
GRMZM2G037630_P01	GRMZM2G037630	NF-YA	Zm00001d029489
GRMZM2G037792_P01	GRMZM2G037792	GRAS	Zm00001d026158
GRMZM2G037823_P01	GRMZM2G037823	Trihelix	Zm00001d016755
GRMZM2G037910_P01	GRMZM2G037910	bZIP	Zm00001d006157
GRMZM2G038015_P01	GRMZM2G038015	bZIP	Zm00001d028879
GRMZM2G038073_P01	GRMZM2G038073	NAC	Zm00001d017084
GRMZM2G038158_P01	GRMZM2G038158	WRKY	Zm00001d053369
GRMZM2G038303_P01	GRMZM2G038303	NF-YA	Zm00001d022109
GRMZM2G038479_P01	GRMZM2G038479	bHLH	Zm00001d052728
GRMZM2G039586_P01	GRMZM2G039586	GATA	Zm00001d046354
GRMZM2G039828_P01	GRMZM2G039828	bZIP	Zm00001d039658
GRMZM2G040298_P01	GRMZM2G040298	WRKY	Zm00001d043569
GRMZM2G040349_P01	GRMZM2G040349	NF-YA	Zm00001d006835
GRMZM2G040349_P02	GRMZM2G040349	NF-YA	Zm00001d006835
GRMZM2G040481_P01	GRMZM2G040481	EIL	Zm00001d016924
GRMZM2G041668_P01	GRMZM2G041668	NAC	NA
GRMZM2G041701_P01	GRMZM2G041701	E2F/DP	Zm00001d050664
GRMZM2G041701_P02	GRMZM2G041701	E2F/DP	Zm00001d050664
GRMZM2G041746_P01	GRMZM2G041746	NAC	Zm00001d037029
GRMZM2G041746_P02	GRMZM2G041746	NAC	Zm00001d037029
GRMZM2G041818_P01	GRMZM2G041818	GeBP	Zm00001d033706
GRMZM2G042101_P01	GRMZM2G042101	bHLH	Zm00001d052254
GRMZM2G042218_P01	GRMZM2G042218	Dof	Zm00001d012280
GRMZM2G042278_P01	GRMZM2G042278	Nin-like	Zm00001d015201
GRMZM2G042407_P01	GRMZM2G042407	SRS	Zm00001d032040
GRMZM2G042407_P02	GRMZM2G042407	SRS	Zm00001d032040
GRMZM2G042494_P01	GRMZM2G042494	NAC	NA
GRMZM2G042893_P01	GRMZM2G042893	bHLH	Zm00001d004095
GRMZM2G042893_P02	GRMZM2G042893	bHLH	Zm00001d004095
GRMZM2G042893_P03	GRMZM2G042893	bHLH	Zm00001d004095
GRMZM2G042893_P04	GRMZM2G042893	bHLH	Zm00001d004095
GRMZM2G042893_P05	GRMZM2G042893	bHLH	Zm00001d004095
GRMZM2G042895_P01	GRMZM2G042895	bHLH	Zm00001d024522
GRMZM2G042920_P02	GRMZM2G042920	bHLH	Zm00001d026317
GRMZM2G043250_P01	GRMZM2G043250	FAR1	Zm00001d016772
GRMZM2G043600_P01	GRMZM2G043600	bZIP	Zm00001d021191
GRMZM2G043813_P01	GRMZM2G043813	NAC	Zm00001d025861
GRMZM2G043854_P01	GRMZM2G043854	bHLH	Zm00001d047878
GRMZM2G044150_P01	GRMZM2G044150	LBD	Zm00001d038013
GRMZM2G044322_P01	GRMZM2G044322	EIL	Zm00001d003451
GRMZM2G044576_P01	GRMZM2G044576	GATA	Zm00001d012757
GRMZM2G044902_P01	GRMZM2G044902	LBD	NA
GRMZM2G044902_P02	GRMZM2G044902	LBD	NA
GRMZM2G044902_P03	GRMZM2G044902	LBD	NA
GRMZM2G045109_P01	GRMZM2G045109	bHLH	Zm00001d046096
GRMZM2G045236_P01	GRMZM2G045236	bZIP	NA
GRMZM2G045236_P02	GRMZM2G045236	bZIP	NA
GRMZM2G045431_P01	GRMZM2G045431	bHLH	Zm00001d020705
GRMZM2G045678_P01	GRMZM2G045678	Dof	Zm00001d033325
GRMZM2G045883_P01	GRMZM2G045883	bHLH	Zm00001d018119
GRMZM2G046829_P01	GRMZM2G046829	YABBY	Zm00001d021863
GRMZM2G047370_P01	GRMZM2G047370	Trihelix	Zm00001d025720
GRMZM2G047370_P02	GRMZM2G047370	Trihelix	Zm00001d025720
GRMZM2G048450_P01	GRMZM2G048450	WRKY	Zm00001d016052
GRMZM2G048582_P01	GRMZM2G048582	Nin-like	Zm00001d006293
GRMZM2G048826_P01	GRMZM2G048826	NAC	Zm00001d050039
GRMZM2G048850_P01	GRMZM2G048850	GATA	Zm00001d023540
GRMZM2G048987_P01	GRMZM2G048987	FAR1	Zm00001d021617
GRMZM2G048987_P02	GRMZM2G048987	FAR1	Zm00001d021617
GRMZM2G048987_P03	GRMZM2G048987	FAR1	Zm00001d021617
GRMZM2G049159_P01	GRMZM2G049159	GRAS	Zm00001d028603
GRMZM2G049159_P03	GRMZM2G049159	GRAS	Zm00001d028603
GRMZM2G049229_P01	GRMZM2G049229	bHLH	Zm00001d047017
GRMZM2G049686_P01	GRMZM2G049686	bHLH	NA
GRMZM2G050590_P01	GRMZM2G050590	E2F/DP	Zm00001d004512
GRMZM2G050912_P01	GRMZM2G050912	bZIP	Zm00001d046564
GRMZM2G051785_P01	GRMZM2G051785	GRAS	Zm00001d045589
GRMZM2G051955_P01	GRMZM2G051955	ZF-HD	Zm00001d005757
GRMZM2G052102_P01	GRMZM2G052102	bZIP	Zm00001d053442
GRMZM2G052239_P01	GRMZM2G052239	NAC	Zm00001d034984
GRMZM2G052499_P01	GRMZM2G052499	NF-YC	Zm00001d023466
GRMZM2G052515_P01	GRMZM2G052515	E2F/DP	Zm00001d023465
GRMZM2G052616_P01	GRMZM2G052616	GATA	Zm00001d040775
GRMZM2G052671_P01	GRMZM2G052671	WRKY	Zm00001d006001
GRMZM2G052671_P02	GRMZM2G052671	WRKY	Zm00001d006001
GRMZM2G053298_P01	GRMZM2G053298	Nin-like	Zm00001d021442
GRMZM2G054125_P01	GRMZM2G054125	WRKY	Zm00001d049173
