CHROM	BIN_START	BIN_END	WEIGHTED_FST
3	2145001	2330000	0.118346
3	3050001	3165000	0.120861
3	5840001	5935000	0.106329
3	12390001	12515000	0.0913925
3	14040001	14165000	0.0885549
3	25380001	25545000	0.118609
3	37880001	38070000	0.090709
3	65875001	66455000	0.0796237
3	118065001	118300000	0.14467
3	124225001	124620000	0.0811525
3	125885001	126080000	0.0810025
3	132590001	132685000	0.084243
3	147015001	147315000	0.111583
3	147380001	147580000	0.114064
3	147745001	147880000	0.0832686
3	151280001	151375000	0.0826512
3	153450001	153590000	0.081252
3	158265001	158650000	0.127418
3	161915001	162150000	0.0924877
3	165955001	166105000	0.0800621
3	166200001	166715000	0.100193
3	171410001	171550000	0.0949063
3	174585001	174750000	0.115169
3	176140001	176250000	0.103756
3	181385001	181650000	0.100566
3	186805001	186990000	0.100854
3	187460001	187570000	0.0861791
3	191920001	192140000	0.0972959
3	192255001	192365000	0.106911
3	197205001	198045000	0.101428
3	198485001	198760000	0.122983
3	199115001	199485000	0.160086
3	200030001	200145000	0.0862135
3	200735001	201420000	0.149737
3	206285001	206425000	0.088335
3	212805001	213210000	0.0876708
3	217730001	217940000	0.116594
3	218245001	218470000	0.170246
3	219310001	219870000	0.136685
3	224635001	225155000	0.174724
3	226405001	226545000	0.115714
3	227845001	228250000	0.153575
3	229915001	230050000	0.0807657
3	230480001	230720000	0.137204
3	232955001	233675000	0.108
4	35620001	35735000	0.0898723
4	36515001	36720000	0.0899721
4	101275001	101480000	0.102843
4	116870001	117920000	0.100736
4	127395001	127540000	0.0809588
4	134835001	135285000	0.104662
4	142165001	143550000	0.102167
4	144405001	144750000	0.107457
4	145080001	145560000	0.0818362
4	145675001	145815000	0.0851778
4	154815001	154950000	0.123002
4	158070001	158520000	0.0810092
4	159195001	159595000	0.0790949
4	163320001	163620000	0.0856614
4	165295001	165570000	0.106674
4	171655001	173280000	0.141776
4	173365001	173665000	0.107783
4	176840001	177030000	0.119128
4	183825001	184040000	0.128827
4	184975001	185180000	0.0838131
4	190395001	190535000	0.135489
4	190625001	190695000	0.083836
4	199080001	199300000	0.16254
4	199370001	199495000	0.0895727
4	199780001	199960000	0.0812464
4	201785001	202010000	0.0814914
4	206300001	206565000	0.105709
4	207135001	207215000	0.0794251
4	208590001	208730000	0.0960685
4	220695001	220800000	0.0886815
4	228900001	229100000	0.0926599
4	232590001	232825000	0.0921043
5	2975001	3210000	0.0882265
5	4835001	5045000	0.143102
5	7375001	7510000	0.0830534
5	8190001	8290000	0.0805189
5	10640001	10710000	0.0816228
5	14095001	14230000	0.0842658
5	16515001	16670000	0.127616
5	27900001	28250000	0.0806562
5	32975001	33075000	0.0838374
5	33325001	33665000	0.0894258
5	33835001	34085000	0.0835449
5	35140001	35310000	0.0841146
5	36130001	36630000	0.0845902
5	44255001	44380000	0.122398
5	45045001	45980000	0.0985735
5	46075001	46225000	0.126904
5	46400001	48470000	0.291291
5	50100001	50285000	0.138595
5	50350001	50700000	0.0828134
5	58755001	61100000	0.234222
5	72880001	74825000	0.12509
5	75020001	75400000	0.195326
5	81340001	82610000	0.176442
5	85000001	85120000	0.0854814
5	95915001	96050000	0.10865
5	97460001	97720000	0.0924019
5	99255001	100280000	0.0936067
5	139470001	139775000	0.152653
5	140665001	141205000	0.142421
5	151510001	151670000	0.0854922
5	151795001	152300000	0.0895343
5	154235001	154810000	0.142708
5	173605001	173745000	0.145074
5	178370001	178630000	0.0964603
5	182780001	182925000	0.0884509
5	183010001	183115000	0.12478
5	186075001	186580000	0.11075
5	186655001	187440000	0.0949015
5	194665001	195005000	0.153077
5	213910001	214075000	0.0896943
5	218485001	218615000	0.0953674
5	221285001	221345000	0.0808341
6	65070001	65215000	0.130617
6	96580001	97145000	0.104354
6	99520001	99775000	0.0807853
6	99940001	100225000	0.244288
6	100620001	100765000	0.122105
6	102925001	103385000	0.182789
6	110480001	110625000	0.116666
6	129125001	129275000	0.0955941
6	143000001	143155000	0.101264
6	147915001	148085000	0.0904556
6	148385001	149235000	0.153134
6	151080001	151455000	0.123034
7	5065001	5245000	0.135663
7	7455001	7835000	0.148548
7	9655001	10070000	0.107094
7	19460001	20015000	0.155236
7	40750001	41050000	0.114755
7	94325001	94955000	0.0850794
7	98665001	99750000	0.12561
7	99990001	100340000	0.0843956
7	102190001	102330000	0.0854385
7	103140001	103640000	0.165079
7	111515001	111675000	0.107344
7	123260001	123435000	0.084372
7	130010001	130175000	0.0869642
7	132025001	132075000	0.12208
7	137350001	137525000	0.0931006
7	169490001	169765000	0.0795012
7	172330001	172475000	0.103412
7	174125001	174320000	0.143441
8	5235001	5400000	0.106792
8	8085001	8320000	0.123257
8	11415001	11770000	0.0992823
8	12640001	13030000	0.132112
8	14975001	15380000	0.126053
8	20205001	20405000	0.100302
8	28570001	29075000	0.0996288
8	75110001	75920000	0.130361
8	77030001	77345000	0.100219
8	77900001	78910000	0.0830033
8	80245001	80445000	0.0813807
8	81360001	81960000	0.0964368
8	82175001	82225000	0.292511
8	83905001	84100000	0.108457
8	85490001	86775000	0.120814
8	88170001	88220000	0.0980973
8	92395001	92580000	0.0994612
8	93235001	93695000	0.0915738
8	104405001	104635000	0.133199
8	107055001	107580000	0.166631
8	109445001	110665000	0.114647
8	112485001	112770000	0.120887
8	112910001	113420000	0.0926097
8	113640001	113830000	0.126862
8	116585001	117905000	0.129306
8	119125001	119685000	0.135003
8	119780001	1.2e+08	0.0868249
8	125635001	125820000	0.0805159
8	132460001	132710000	0.107103
8	133695001	134010000	0.101526
8	134475001	134625000	0.100763
8	136310001	136510000	0.15325
8	137950001	138095000	0.0892362
8	149135001	149185000	0.136364
8	150085001	150205000	0.0914945
8	170035001	170340000	0.131955
9	440001	520000	0.118074
9	1750001	1935000	0.0799
9	2395001	2725000	0.0817721
9	2780001	2890000	0.0798095
9	3205001	3760000	0.118338
9	10635001	10765000	0.124358
9	16595001	16735000	0.100058
9	22265001	22545000	0.0877331
9	102355001	102490000	0.140204
9	102815001	103625000	0.14
9	105915001	106090000	0.0945817
9	107085001	107835000	0.144715
9	107915001	108280000	0.100574
9	110685001	111075000	0.0839662
9	112005001	112150000	0.0984314
9	127015001	127360000	0.0981214
9	127485001	127950000	0.272209
9	132400001	132705000	0.115084
9	139480001	139655000	0.0918017
9	139750001	139855000	0.0810594
9	140580001	140785000	0.0936071
9	154030001	154410000	0.0870697
9	156175001	156525000	0.156433
10	6910001	8060000	0.119979
10	9595001	10405000	0.175015
10	11190001	11810000	0.265547
10	12185001	12340000	0.140274
10	17800001	17900000	0.0837076
10	31560001	31710000	0.0880759
10	34055001	34320000	0.107867
10	59980001	60030000	0.0858723
10	61600001	62335000	0.138718
10	62865001	63370000	0.0910604
10	77720001	78600000	0.154403
10	78670001	78805000	0.135351
10	82580001	82975000	0.0846895
10	104175001	106025000	0.0953745
10	106145001	106715000	0.150249
10	108770001	109265000	0.140345
10	116630001	117035000	0.154436
10	117110001	117490000	0.0817862
10	118255001	118380000	0.106726
10	120290001	120345000	0.118164
10	122285001	122375000	0.096166
10	125425001	125785000	0.125605
10	136900001	137115000	0.100395
10	145605001	145740000	0.105367
