Chr	WinCenter	tP	Tajima	nSites	pi
1	3062500	NA	NA	8957	NA
1	3087500	NA	NA	7406	NA
1	3112500	124.098512	-0.331533	21935	0.00565755696375655
1	3137500	260.765143	-0.017085	23876	0.01092164277936
1	3162500	338.224755	0.583949	23012	0.0146977557361377
1	3187500	21.941407	-0.878992	6020	0.00364475199335548
1	3212500	29.858967	-1.629417	8998	0.00331840042231607
1	3237500	NA	NA	12480	NA
1	3262500	84.605468	1.003653	8424	0.0100433841405508
1	3287500	NA	NA	20982	NA
1	3312500	NA	NA	18654	NA
1	3337500	43.67635	-1.557427	11647	0.00375000858590195
1	3362500	NA	NA	23731	NA
1	3387500	NA	NA	12194	NA
1	3412500	5.384435	-1.808569	919	0.00585901523394995
1	3437500	NA	NA	10079	NA
1	3462500	NA	NA	4430	NA
1	3487500	NA	NA	21922	NA
1	3512500	NA	NA	10026	NA
1	3537500	NA	NA	19467	NA
1	3562500	NA	NA	12178	NA
1	3587500	NA	NA	19187	NA
1	3612500	NA	NA	23443	NA
1	3637500	NA	NA	24028	NA
1	3662500	NA	NA	13488	NA
1	3687500	NA	NA	10591	NA
1	3712500	29.560547	-1.723307	3561	0.00830119264251615
1	3737500	NA	NA	7199	NA
1	3762500	NA	NA	11027	NA
1	3787500	NA	NA	11953	NA
1	3812500	NA	NA	13759	NA
1	3837500	NA	NA	11830	NA
1	3862500	95.845678	-0.952247	15581	0.00615144586355176
1	3887500	NA	NA	11725	NA
1	3912500	77.025774	-1.221331	21540	0.00357594122562674
1	3937500	24.501475	-2.170444	14827	0.00165249038915492
1	3962500	NA	NA	24266	NA
1	3987500	NA	NA	9606	NA
1	4037500	50.222205	-1.30716	5596	0.0089746613652609
1	4062500	103.143427	-0.518469	11206	0.00920430367660182
1	4087500	12.878142	-1.900903	4049	0.00318057347493208
1	4112500	203.108934	0.56327	21391	0.00949506493385069
1	4137500	NA	NA	21267	NA
1	4162500	26.85573	-1.135677	5741	0.00467788364396447
1	4187500	87.600787	-0.369082	8404	0.0104237014516897
1	4212500	NA	NA	13067	NA
1	4237500	NA	NA	24599	NA
1	4262500	NA	NA	21442	NA
1	4287500	142.315987	0.200169	23508	0.00605393853156372
1	4312500	50.917355	-1.412251	11236	0.00453162646849413
1	4337500	NA	NA	22386	NA
1	4362500	106.683305	-1.003633	16393	0.00650785731714756
1	4387500	NA	NA	16572	NA
1	4412500	145.1256	-0.274141	22129	0.00655816349586515
1	4437500	58.437623	-0.775934	7844	0.00744997743498215
1	4462500	59.308282	-1.334396	10311	0.00575194277955581
1	4487500	NA	NA	11568	NA
1	4512500	37.930577	-0.030626	4408	0.00860494033575318
1	4537500	NA	NA	15051	NA
1	4562500	103.963881	-1.373127	11209	0.00927503622089393
1	4587500	215.910335	-0.197734	15107	0.014292072218177
1	4612500	NA	NA	6509	NA
1	4637500	NA	NA	2191	NA
1	4662500	NA	NA	16222	NA
1	4687500	NA	NA	6641	NA
1	4712500	NA	NA	15761	NA
1	4737500	NA	NA	21349	NA
1	4762500	NA	NA	22883	NA
1	4787500	30.90513	-2.212136	19285	0.00160254757583614
1	4812500	NA	NA	20437	NA
1	4837500	NA	NA	19270	NA
1	4862500	56.274758	-1.915639	20578	0.00273470492759257
1	4887500	NA	NA	17632	NA
1	4912500	NA	NA	20325	NA
1	4937500	13.46064	-2.059869	12730	0.00105739512961508
1	4962500	21.917102	-2.190173	20595	0.00106419529011896
1	4987500	NA	NA	19878	NA
1	5012500	NA	NA	11997	NA
1	5037500	NA	NA	23598	NA
1	5062500	9.602102	-2.114446	9136	0.00105101816987741
1	5087500	NA	NA	23369	NA
1	5112500	NA	NA	23761	NA
1	5137500	NA	NA	20841	NA
1	5162500	NA	NA	23523	NA
1	5187500	NA	NA	10713	NA
1	5212500	NA	NA	14109	NA
1	5237500	10.574386	-1.717313	1667	0.00634336292741452
1	5262500	12.610095	-1.863962	3728	0.00338253621244635
1	5287500	5.888452	-2.020198	3178	0.00185287979861548
1	5312500	121.918817	-0.877975	10653	0.0114445524265465
1	5337500	NA	NA	15048	NA
1	5362500	NA	NA	8318	NA
1	5387500	44.963351	-1.796022	7585	0.00592793025708636
1	5412500	NA	NA	19015	NA
1	5437500	NA	NA	11608	NA
1	5462500	111.976965	-0.143941	12359	0.00906035803867627
1	5487500	NA	NA	5245	NA
1	5512500	NA	NA	6863	NA
1	5537500	44.67147	1.114692	4512	0.00990059175531915
1	5562500	6.72634	-0.97608	1823	0.00368970927043335
1	5587500	136.872656	0.310877	11587	0.0118126051609562
1	5612500	NA	NA	17819	NA
1	5637500	156.95693	-1.406927	23254	0.00674967446460824
1	5662500	NA	NA	14747	NA
1	5687500	85.035674	-0.210596	8738	0.00973170908674754
1	5712500	NA	NA	22789	NA
1	5737500	165.170842	-1.054177	24490	0.00674441984483463
1	5762500	NA	NA	23380	NA
1	5787500	NA	NA	14653	NA
1	5812500	NA	NA	24090	NA
1	5837500	31.213615	-1.864829	7070	0.00441493847241867
1	5862500	13.439489	-1.880887	5302	0.00253479611467371
1	5887500	NA	NA	18239	NA
1	5912500	NA	NA	15873	NA
1	5937500	NA	NA	14864	NA
1	5962500	36.034071	-1.856849	16309	0.00220945925562573
1	5987500	33.098677	-1.6213	14736	0.00224611000271444
1	6012500	NA	NA	12252	NA
1	6037500	58.326987	-0.820262	9895	0.00589459191510864
1	6062500	100.025306	-1.14831	16138	0.00619812281571446
1	6087500	NA	NA	14865	NA
1	6112500	97.116006	-0.33353	18393	0.00528005251998043
1	6137500	NA	NA	17060	NA
1	6162500	NA	NA	19648	NA
1	6187500	124.781278	-0.842421	16519	0.00755380337792845
1	6212500	26.012333	-1.138386	5531	0.00470300723196529
1	6237500	NA	NA	22066	NA
1	6262500	NA	NA	21289	NA
1	6287500	NA	NA	15724	NA
1	6312500	NA	NA	21106	NA
1	6337500	NA	NA	5647	NA
1	6362500	0.212096	-1.376378	263	0.000806448669201521
1	6387500	75.323264	-0.72768	8896	0.00846709352517985
1	6412500	NA	NA	13207	NA
1	6437500	NA	NA	22818	NA
1	6462500	NA	NA	16356	NA
1	6487500	46.15142	-1.914799	18521	0.00249184277306841
1	6512500	NA	NA	17193	NA
1	6537500	NA	NA	23571	NA
1	6562500	NA	NA	16519	NA
1	6587500	24.403276	-1.785828	3825	0.0063799414379085
1	6612500	NA	NA	11299	NA
1	6637500	NA	NA	3559	NA
1	6662500	NA	NA	14035	NA
1	6687500	83.821827	-1.654818	16411	0.00510766114191701
1	6712500	59.581134	-1.666161	13217	0.00450791662253159
1	6737500	95.610911	-1.239831	14075	0.00679295992895204
1	6762500	NA	NA	19178	NA
1	6787500	NA	NA	14085	NA
1	6812500	NA	NA	13075	NA
1	6837500	NA	NA	17401	NA
1	6862500	89.025318	-0.917679	6722	0.0132438735495388
1	6887500	NA	NA	9530	NA
1	6912500	NA	NA	15629	NA
1	6937500	111.450528	-0.423153	6577	0.0169454961228524
1	6962500	49.121735	-1.193457	5100	0.00963171274509804
1	6987500	NA	NA	7879	NA
1	7012500	NA	NA	8158	NA
1	7037500	NA	NA	16635	NA
1	7062500	NA	NA	18614	NA
1	7087500	78.417436	-0.913045	17088	0.00458903534644195
1	7112500	30.799977	-1.730484	13574	0.00226904206571386
1	7137500	82.667213	-0.68126	15521	0.00532615250306037
1	7162500	NA	NA	8130	NA
1	7187500	NA	NA	14760	NA
1	7212500	NA	NA	10246	NA
1	7237500	NA	NA	19158	NA
1	7262500	NA	NA	17801	NA
1	7287500	NA	NA	16827	NA
1	7312500	NA	NA	19763	NA
1	7337500	NA	NA	13855	NA
1	7362500	NA	NA	6479	NA
1	7387500	NA	NA	12916	NA
1	7412500	250.579578	-0.0263	22006	0.0113868753067345
1	7437500	77.730226	-0.471686	9446	0.00822890387465594
1	7462500	NA	NA	9920	NA
1	7487500	NA	NA	11012	NA
1	7512500	NA	NA	3486	NA
1	7537500	NA	NA	4936	NA
1	7562500	NA	NA	20871	NA
1	7587500	NA	NA	8947	NA
1	7612500	NA	NA	21129	NA
1	7637500	NA	NA	14552	NA
1	7662500	NA	NA	16690	NA
1	7687500	NA	NA	23405	NA
1	7712500	NA	NA	20745	NA
1	7737500	NA	NA	20954	NA
1	7762500	98.367417	-1.021695	14712	0.00668620289559543
1	7787500	84.068938	0.21755	7014	0.011985876532649
1	7812500	17.131851	-1.598604	6543	0.00261834800550206
1	7837500	84.899226	-1.119177	16496	0.00514665531037827
1	7862500	54.904997	-1.690285	19240	0.00285369007276507
1	7887500	NA	NA	24081	NA
1	7912500	30.455774	-1.839986	15604	0.00195179274544988
1	7937500	60.131381	-1.698257	20272	0.0029662283445146
1	7962500	NA	NA	23665	NA
1	7987500	NA	NA	23295	NA
1	8012500	NA	NA	8557	NA
1	8037500	NA	NA	17109	NA
1	8062500	NA	NA	17441	NA
1	8087500	NA	NA	9516	NA
1	8112500	NA	NA	18395	NA
1	8137500	93.059943	-0.878965	16815	0.0055343409455843
1	8162500	NA	NA	15616	NA
1	8187500	NA	NA	4624	NA
1	8212500	NA	NA	4688	NA
1	8237500	NA	NA	19371	NA
1	8262500	NA	NA	9765	NA
1	8287500	133.925207	-0.418545	21994	0.00608917009184323
1	8312500	NA	NA	19630	NA
1	8337500	NA	NA	10579	NA
1	8362500	NA	NA	16671	NA
1	8387500	NA	NA	16446	NA
1	8412500	NA	NA	7590	NA
1	8437500	14.358276	-2.138133	11512	0.00124724426685198
1	8462500	60.186591	-0.981409	11672	0.00515649340301576
1	8487500	NA	NA	13753	NA
1	8512500	66.946371	-1.186119	8229	0.00813541997812614
1	8537500	18.128255	-1.364967	2827	0.00641254156349487
1	8562500	NA	NA	11608	NA
1	8587500	NA	NA	15502	NA
1	8612500	NA	NA	15054	NA
1	8637500	NA	NA	12399	NA
1	8662500	NA	NA	15276	NA
1	8687500	NA	NA	19553	NA
1	8712500	NA	NA	6007	NA
1	8737500	41.811124	-0.896234	2519	0.0165983025009925
1	8762500	NA	NA	5238	NA
1	8787500	NA	NA	17490	NA
1	8812500	NA	NA	9492	NA
1	8837500	NA	NA	9880	NA
1	8862500	NA	NA	9868	NA
1	8887500	6.4383	-1.717106	1244	0.00517548231511254
1	8912500	NA	NA	9498	NA
1	8937500	32.650587	-2.091442	19164	0.0017037459298685
1	8962500	NA	NA	22500	NA
1	8987500	NA	NA	9510	NA
1	9012500	NA	NA	17630	NA
1	9037500	NA	NA	22097	NA
1	9062500	32.665798	-1.696872	15068	0.00216789208919565
1	9087500	90.651182	-1.056493	23431	0.00386885672826597
1	9112500	166.752881	0.394575	21315	0.00782326441473141
1	9137500	97.09125	-0.988814	15133	0.00641586268420009
1	9162500	108.389455	-0.529811	14420	0.00751660575589459
1	9187500	NA	NA	4526	NA
1	9212500	NA	NA	5218	NA
1	9237500	NA	NA	9372	NA
1	9262500	NA	NA	17055	NA
1	9287500	54.529139	-1.308552	19098	0.00285522772018012
1	9312500	45.143142	-1.681192	20284	0.00222555422993492
1	9337500	NA	NA	20897	NA
1	9362500	101.22174	-0.546053	18075	0.00560009626556017
1	9387500	8.857804	-2.222645	4093	0.00216413486440264
1	9412500	NA	NA	14173	NA
1	9437500	NA	NA	7911	NA
1	9462500	NA	NA	11569	NA
1	9487500	NA	NA	20383	NA
1	9512500	NA	NA	7771	NA
1	9537500	NA	NA	4772	NA
1	9562500	NA	NA	11082	NA
1	9587500	NA	NA	13470	NA
1	9612500	NA	NA	16782	NA
1	9637500	NA	NA	18640	NA
1	9662500	14.676028	-1.5527	3256	0.00450737960687961
1	9687500	25.540536	-1.79077	3041	0.00839872936534035
1	9712500	6.394997	-1.075958	896	0.0071372734375
1	9737500	NA	NA	3181	NA
1	9762500	NA	NA	3034	NA
1	9787500	82.34833	-0.626925	4436	0.0185636451758341
1	9812500	3.089429	-1.73908	812	0.00380471551724138
1	9862500	0.069646	-0.458797	128	0.000544109375
1	9887500	118.938858	0.275069	11473	0.010366848949708
1	9912500	63.927834	-1.634679	8506	0.00751561650599577
1	9937500	29.327982	-1.659684	5811	0.00504697676819824
1	9962500	34.755752	-1.693616	5151	0.0067473795379538
1	9987500	NA	NA	19281	NA
1	10012500	83.284626	-1.54231	17455	0.00477139077628187
1	10037500	NA	NA	16875	NA
1	10062500	166.709833	-0.394915	16337	0.0102044336781539
1	10087500	NA	NA	11702	NA
1	10112500	78.800577	0.541945	7120	0.0110674967696629
1	10137500	NA	NA	6127	NA
1	10162500	NA	NA	2103	NA
1	10212500	23.005858	-1.290195	3466	0.00663758165031737
1	10237500	NA	NA	4655	NA
1	10262500	NA	NA	14125	NA
1	10287500	20.033408	-1.613394	3537	0.00566395476392423
1	10312500	NA	NA	8106	NA
1	10337500	NA	NA	8728	NA
1	10362500	NA	NA	5825	NA
1	10387500	6.600903	-0.647717	881	0.00749251191827469
1	10437500	NA	NA	17925	NA
1	10462500	NA	NA	22772	NA
1	10487500	NA	NA	23825	NA
1	10512500	38.696953	-2.015709	14347	0.00269721565484073
1	10537500	NA	NA	24821	NA
1	10562500	NA	NA	24972	NA
1	10587500	62.376153	-1.03548	14873	0.00419391871175956
1	10612500	NA	NA	16115	NA
1	10637500	28.661915	-0.716339	5929	0.00483419041996964
1	10662500	7.874229	-1.861197	3169	0.00248476775007889
1	10687500	NA	NA	8672	NA
1	10712500	5.920913	-1.277787	2605	0.00227290326295585
1	10737500	NA	NA	12066	NA
1	10762500	NA	NA	18499	NA
1	10787500	NA	NA	5650	NA
1	10812500	142.553614	-0.704776	15793	0.00902637966187552
1	10837500	NA	NA	6824	NA
1	10862500	NA	NA	13524	NA
1	10887500	NA	NA	17501	NA
1	10912500	NA	NA	23184	NA
1	10937500	53.395594	-1.514101	21117	0.00252855964388881
1	10962500	105.593914	-1.098493	18518	0.00570223101846852
1	10987500	NA	NA	18116	NA
1	11012500	NA	NA	20279	NA
1	11037500	NA	NA	20898	NA
1	11062500	NA	NA	13915	NA
1	11087500	163.945093	-0.632798	17732	0.00924571920821114
1	11112500	138.612431	-0.824673	16885	0.00820920527095055
1	11137500	NA	NA	23899	NA
1	11162500	NA	NA	20815	NA
1	11187500	27.228418	-0.978881	3484	0.00781527497129736
1	11212500	12.644046	-1.234409	3149	0.00401525754207685
1	11237500	55.19484	-0.427358	7042	0.00783794944618006
1	11262500	1.706865	-2.176387	1180	0.00144649576271186
1	11287500	NA	NA	12962	NA
1	11312500	76.06748	0.455563	10507	0.00723969544113448
1	11337500	36.478814	-1.692143	5543	0.0065810597149558
1	11362500	NA	NA	16918	NA
1	11387500	25.089385	-1.035101	5261	0.00476893841475005
1	11412500	NA	NA	15371	NA
1	11437500	NA	NA	23084	NA
1	11462500	92.674954	-1.494191	19829	0.00467370790256695
1	11487500	NA	NA	24906	NA
1	11512500	48.391736	-2.056736	21083	0.00229529649480624
1	11537500	40.798331	-1.885599	15503	0.0026316410372186
1	11562500	NA	NA	22649	NA
1	11587500	92.866411	-0.741726	21411	0.00433732245107655
1	11612500	NA	NA	11130	NA
1	11637500	41.66491	-1.840034	16440	0.00253436192214112
1	11662500	NA	NA	19187	NA
1	11687500	NA	NA	8742	NA
1	11712500	NA	NA	15266	NA
1	11737500	NA	NA	24110	NA
1	11762500	NA	NA	22077	NA
1	11787500	NA	NA	24942	NA
1	11812500	NA	NA	24999	NA
1	11837500	NA	NA	24995	NA
1	11862500	NA	NA	21040	NA
1	11887500	NA	NA	24914	NA
1	11912500	NA	NA	18471	NA
1	11937500	NA	NA	20070	NA
1	11962500	NA	NA	24051	NA
1	11987500	NA	NA	23551	NA
1	12012500	NA	NA	24890	NA
1	12037500	NA	NA	20208	NA
1	12062500	NA	NA	6197	NA
1	12087500	NA	NA	5917	NA
1	12112500	NA	NA	14556	NA
1	12137500	NA	NA	16349	NA
1	12162500	NA	NA	8848	NA
1	12187500	NA	NA	17644	NA
1	12212500	NA	NA	13079	NA
1	12237500	47.566901	-1.324704	6122	0.00776983028422084
1	12262500	NA	NA	3789	NA
1	12287500	124.407348	-0.410357	16287	0.00763844464910665
1	12312500	7.421624	-1.876268	4537	0.00163579986775402
1	12337500	NA	NA	17262	NA
1	12362500	176.737074	0.251636	22485	0.00786022121414276
1	12387500	NA	NA	22401	NA
1	12412500	NA	NA	9284	NA
1	12437500	NA	NA	18829	NA
1	12462500	121.659429	-1.009331	15278	0.00796304679931928
1	12487500	116.750062	-0.73263	12936	0.00902520578231293
1	12512500	187.22768	0.435695	16677	0.0112267002458476
1	12537500	NA	NA	19647	NA
1	12562500	45.288502	-1.312536	16901	0.00267963445949944
1	12587500	NA	NA	17978	NA
1	12612500	176.089576	0.555354	16877	0.0104337012502222
1	12637500	NA	NA	21913	NA
1	12662500	NA	NA	9886	NA
1	12687500	NA	NA	9300	NA
1	12712500	NA	NA	20514	NA
1	12737500	68.611364	-1.257544	14917	0.00459954173091104
1	12762500	149.677062	-1.048169	22218	0.00673674777207669
1	12787500	NA	NA	24191	NA
1	12812500	193.068848	-0.113242	18671	0.010340573509721
1	12837500	NA	NA	18647	NA
1	12862500	NA	NA	24281	NA
1	12887500	NA	NA	9188	NA
1	12912500	NA	NA	21292	NA
1	12937500	NA	NA	22625	NA
1	12962500	20.241053	-1.809174	9261	0.00218562282690854
1	12987500	NA	NA	19930	NA
1	13012500	118.599559	-0.175342	16914	0.00701191669622798
1	13037500	54.031	-1.29022	13832	0.00390623192596877
1	13062500	NA	NA	22239	NA
1	13087500	59.421535	-0.792354	10081	0.00589440878881063
1	13112500	NA	NA	16327	NA
1	13137500	NA	NA	20062	NA
1	13162500	NA	NA	18116	NA
1	13187500	NA	NA	14676	NA
1	13212500	NA	NA	5720	NA
1	13237500	NA	NA	13137	NA
1	13262500	NA	NA	17358	NA
1	13287500	NA	NA	6371	NA
1	13312500	NA	NA	5586	NA
1	13337500	NA	NA	6009	NA
1	13462500	NA	NA	10654	NA
1	13487500	NA	NA	22662	NA
1	13512500	130.43278	-1.282705	24820	0.00525514826752619
1	13537500	117.058118	-1.024956	23184	0.00504909066597654
1	13562500	NA	NA	22396	NA
1	13587500	NA	NA	22591	NA
1	13612500	162.320555	-1.142672	22017	0.00737251010582732
1	13637500	27.324476	-1.733036	6075	0.00449785613168724
1	13662500	40.408071	0.199979	6534	0.00618427777777778
1	13687500	107.00386	-0.132943	16593	0.00644873500873862
1	13712500	18.059051	-2.157214	5747	0.00314234400556812
1	13737500	105.736495	0.17771	12718	0.00831392475231955
1	13762500	126.503453	-0.028425	13404	0.00943773895851984
1	13787500	131.790023	-1.017891	20699	0.00636697536112856
1	13812500	87.689437	-0.066976	20078	0.00436743883852973
1	13837500	66.809226	-1.138037	14626	0.00456783987419664
1	13862500	128.566908	0.771528	12722	0.0101058723471152
1	13887500	94.62055	-1.556011	14023	0.00674752549383156
1	13912500	NA	NA	12872	NA
1	13937500	1.032227	-1.922705	737	0.00140057937584803
1	13962500	NA	NA	9376	NA
1	13987500	33.192936	-1.243312	7772	0.00427083582089552
1	14012500	130.622493	0.078775	16040	0.00814354694513716
1	14037500	125.854429	-0.388901	17944	0.00701373322559073
1	14062500	130.931713	-0.013863	18743	0.0069856326628608
1	14087500	54.677606	-1.63208	15866	0.00344621240388252
1	14112500	26.831069	-2.174895	15215	0.00176346164968781
1	14137500	48.00161	-1.931353	20787	0.00230921296964449
1	14162500	NA	NA	21140	NA
1	14187500	NA	NA	23991	NA
1	14212500	NA	NA	16433	NA
1	14237500	NA	NA	7759	NA
1	14262500	NA	NA	23734	NA
1	14287500	30.939981	-1.843176	10125	0.00305580059259259
1	14312500	NA	NA	20522	NA
1	14337500	NA	NA	7821	NA
1	14362500	NA	NA	11804	NA
1	14387500	NA	NA	9824	NA
1	14412500	39.013941	-1.851679	15720	0.00248180286259542
1	14437500	NA	NA	20588	NA
1	14462500	NA	NA	18511	NA
1	14487500	NA	NA	21747	NA
1	14512500	NA	NA	18962	NA
1	14537500	NA	NA	17600	NA
1	14562500	NA	NA	17808	NA
1	14587500	NA	NA	23080	NA
1	14612500	NA	NA	19377	NA
1	14637500	NA	NA	15874	NA
1	14662500	NA	NA	17829	NA
1	14687500	NA	NA	15398	NA
1	14712500	NA	NA	16441	NA
1	14737500	71.593785	-1.66506	19316	0.00370644983433423
1	14762500	NA	NA	16835	NA
1	14787500	131.409767	-0.725752	23194	0.00566567935673019
1	14812500	NA	NA	13776	NA
1	14837500	82.993207	-1.259672	19716	0.00420943431730574
1	14862500	NA	NA	9036	NA
1	14887500	NA	NA	13594	NA
1	14912500	NA	NA	12743	NA
1	14937500	NA	NA	10185	NA
1	14962500	NA	NA	15607	NA
1	14987500	NA	NA	14445	NA
1	15012500	NA	NA	13184	NA
1	15037500	NA	NA	23356	NA
1	15062500	NA	NA	24180	NA
1	15087500	21.798061	-0.830463	2874	0.0075845723729993
1	15112500	58.165963	-1.361389	11422	0.00509244992120469
1	15137500	54.856082	0.02339	6328	0.00866878666245259
1	15162500	NA	NA	13801	NA
1	15187500	95.550228	-1.138809	20863	0.00457988918180511
1	15212500	26.346657	-2.041629	15178	0.00173584510475688
1	15237500	NA	NA	10204	NA
1	15262500	35.969419	-0.83997	4224	0.00851548745265152
1	15287500	58.835267	0.266478	4300	0.0136826202325581
1	15312500	178.646552	-0.382557	24343	0.00733872373988416
1	15337500	119.999959	-0.731995	18291	0.00656060133398939
1	15362500	118.797097	-0.247756	13685	0.00868082550237486
1	15387500	NA	NA	18269	NA
1	15412500	NA	NA	23793	NA
1	15437500	NA	NA	24605	NA
1	15462500	55.025862	-2.103927	24366	0.00225830509726668
1	15487500	NA	NA	24789	NA
1	15512500	NA	NA	20921	NA
1	15537500	95.763805	-1.316428	21513	0.00445143889741087
1	15562500	NA	NA	16390	NA
1	15587500	NA	NA	16429	NA
1	15612500	19.7136	-2.025192	12374	0.00159314692096331
1	15637500	NA	NA	14847	NA
1	15662500	NA	NA	11494	NA
1	15687500	92.072624	-0.713233	15551	0.00592068831586393
1	15712500	33.222226	-1.596797	10941	0.0030364889863815
1	15737500	NA	NA	15831	NA
1	15762500	157.125862	0.124261	20453	0.007682289248521
1	15787500	NA	NA	11999	NA
1	15812500	48.026507	-1.405537	8140	0.00590006228501229
1	15837500	83.910416	-0.299624	9806	0.0085570483377524
1	15862500	60.80187	-1.502366	12010	0.00506260366361366
1	15887500	23.569944	-1.817723	6972	0.00338065748709122
1	15912500	21.436356	-1.48983	5261	0.004074578217069
1	15937500	84.32242	-0.754362	8459	0.0099683674193167
1	15962500	NA	NA	16997	NA
1	15987500	NA	NA	5734	NA
1	16012500	NA	NA	20410	NA
1	16037500	NA	NA	10279	NA
1	16062500	NA	NA	6163	NA
1	16087500	28.760937	-1.808542	4468	0.0064370942256043
1	16112500	63.566038	-1.462246	5772	0.0110128270963271
1	16137500	NA	NA	12468	NA
1	16162500	52.701505	-1.0835	10589	0.00497700491075645
1	16187500	32.919093	-1.733747	10253	0.00321067911830684
1	16212500	NA	NA	12091	NA
1	16237500	NA	NA	19861	NA
1	16262500	NA	NA	7846	NA
1	16287500	NA	NA	17749	NA
1	16312500	NA	NA	20386	NA
1	16337500	NA	NA	18242	NA
1	16362500	NA	NA	24527	NA
1	16387500	NA	NA	23962	NA
1	16412500	NA	NA	24002	NA
