Chr	Start	End	pos	XPCLR
5	48120001	48170000	48145000.5	27.7710785
5	48125001	48175000	48150000.5	0.001950633
5	48130001	48180000	48155000.5	19.55401943
5	48135001	48185000	48160000.5	0.716379117
5	48140001	48190000	48165000.5	0.906189812
5	48145001	48195000	48170000.5	0
5	48150001	48200000	48175000.5	0.008005604
5	48155001	48205000	48180000.5	13.0463786
5	48160001	48210000	48185000.5	12.25016509
5	48165001	48215000	48190000.5	24.79993484
5	48170001	48220000	48195000.5	0
5	48175001	48225000	48200000.5	0
5	48190001	48240000	48215000.5	0
5	48195001	48245000	48220000.5	23.19766308
5	48200001	48250000	48225000.5	0
5	48205001	48255000	48230000.5	0.89549247
5	48210001	48260000	48235000.5	10.82566353
5	48215001	48265000	48240000.5	16.8284271
5	48220001	48270000	48245000.5	0.081992096
5	48225001	48275000	48250000.5	0
5	48230001	48280000	48255000.5	6.933407372
5	48235001	48285000	48260000.5	0
5	48240001	48290000	48265000.5	6.691062132
5	48245001	48295000	48270000.5	2.188647692
5	48250001	48300000	48275000.5	0
5	48255001	48305000	48280000.5	0
5	48260001	48310000	48285000.5	12.02306276
5	48265001	48315000	48290000.5	0
5	48270001	48320000	48295000.5	0
5	48275001	48325000	48300000.5	2.10552302
5	48280001	48330000	48305000.5	3.951295715
5	48285001	48335000	48310000.5	6.008977772
5	48290001	48340000	48315000.5	2.323816048
5	48295001	48345000	48320000.5	9.451012996
5	48300001	48350000	48325000.5	6.22636723
5	48305001	48355000	48330000.5	1.11629369
5	48310001	48360000	48335000.5	0
5	48315001	48365000	48340000.5	0
5	48320001	48370000	48345000.5	14.40798265
5	48325001	48375000	48350000.5	5.96988228
5	48330001	48380000	48355000.5	0
5	48335001	48385000	48360000.5	0
5	48340001	48390000	48365000.5	0
5	48345001	48395000	48370000.5	0
5	48350001	48400000	48375000.5	0
5	48355001	48405000	48380000.5	0
5	48360001	48410000	48385000.5	0
5	48365001	48415000	48390000.5	0.401394093
5	48370001	48420000	48395000.5	39.82858938
5	48375001	48425000	48400000.5	0.962582003
5	48380001	48430000	48405000.5	3.220771379
5	48385001	48435000	48410000.5	5.146952823
5	48390001	48440000	48415000.5	1.732310333
5	48395001	48445000	48420000.5	0.092306215
5	48400001	48450000	48425000.5	6.184407993
5	48405001	48455000	48430000.5	0.364711032
5	48410001	48460000	48435000.5	0.940898227
5	48415001	48465000	48440000.5	5.842135642
5	48420001	48470000	48445000.5	1.187701458
5	48425001	48475000	48450000.5	0
5	48430001	48480000	48455000.5	0
5	48435001	48485000	48460000.5	0
5	48440001	48490000	48465000.5	0
5	48480001	48530000	48505000.5	0
5	48485001	48535000	48510000.5	0.038692269
5	48490001	48540000	48515000.5	0.002660471
5	48495001	48545000	48520000.5	0.629238741
5	48500001	48550000	48525000.5	0.213950491
5	48505001	48555000	48530000.5	0
5	48510001	48560000	48535000.5	0
5	48515001	48565000	48540000.5	0
5	48520001	48570000	48545000.5	0.013229929
5	48525001	48575000	48550000.5	0.506939857
5	48530001	48580000	48555000.5	0.301167374
5	48535001	48585000	48560000.5	1.098260669
5	48540001	48590000	48565000.5	0.255092843
5	48545001	48595000	48570000.5	0.037846181
5	48550001	48600000	48575000.5	0
5	48555001	48605000	48580000.5	0
5	48560001	48610000	48585000.5	0
5	48565001	48615000	48590000.5	0.032468452
5	48570001	48620000	48595000.5	0
5	48575001	48625000	48600000.5	0.067653863
5	48580001	48630000	48605000.5	0
5	48585001	48635000	48610000.5	6.84E-05
5	48590001	48640000	48615000.5	0.017843058
5	48595001	48645000	48620000.5	0
5	48600001	48650000	48625000.5	0
5	48605001	48655000	48630000.5	0
5	48610001	48660000	48635000.5	1.893691313
5	48615001	48665000	48640000.5	1.243425033
5	48620001	48670000	48645000.5	0
5	48625001	48675000	48650000.5	0
5	48630001	48680000	48655000.5	0
5	48635001	48685000	48660000.5	0
5	48640001	48690000	48665000.5	0
5	48645001	48695000	48670000.5	0
5	48650001	48700000	48675000.5	0.210334306
5	48655001	48705000	48680000.5	0.029961129
5	48685001	48735000	48710000.5	0.089697525
5	48695001	48745000	48720000.5	0.001973701
5	48700001	48750000	48725000.5	0.13279268
5	48705001	48755000	48730000.5	0.002376162
5	48710001	48760000	48735000.5	0
5	48715001	48765000	48740000.5	2.129226716
5	48775001	48825000	48800000.5	0.338235997
5	48780001	48830000	48805000.5	0
5	48785001	48835000	48810000.5	0.838000245
5	48790001	48840000	48815000.5	0.245417209
5	48795001	48845000	48820000.5	0.00369794
5	48800001	48850000	48825000.5	0.027929816
5	48825001	48875000	48850000.5	0.93320352
5	48830001	48880000	48855000.5	1.860124466
5	48835001	48885000	48860000.5	0.769900468
5	48840001	48890000	48865000.5	0.009843635
5	48845001	48895000	48870000.5	0.018940661
5	48850001	48900000	48875000.5	0
5	48855001	48905000	48880000.5	4.153673463
5	48860001	48910000	48885000.5	0.679186367
5	48865001	48915000	48890000.5	1.569335151
5	48870001	48920000	48895000.5	0
5	48875001	48925000	48900000.5	0
5	48880001	48930000	48905000.5	0
5	48885001	48935000	48910000.5	0.001743619
5	48890001	48940000	48915000.5	0.024641592
5	48895001	48945000	48920000.5	0
5	48905001	48955000	48930000.5	0
5	48915001	48965000	48940000.5	0.316836467
5	48920001	48970000	48945000.5	3.113229406
5	48970001	49020000	48995000.5	0
