ID	Gene	Feature	Start	End
NC358	Gene1	Zm00037a017783	46201393	46206737
NC358	Gene1	five_prime_UTR	46201393	46201793
NC358	Gene1	exon	46201393	46202070
NC358	Gene1	exon	46203478	46204823
NC358	Gene1	exon	46204905	46205182
NC358	Gene1	exon	46205309	46205340
NC358	Gene1	exon	46205438	46205844
NC358	Gene1	exon	46205996	46206737
NC358	Gene1	three_prime_UTR	46206500	46206737
NC358	Gene2	Zm00037a017786	46298108	46307452
NC358	Gene2	exon	46298108	46298378
NC358	Gene2	exon	46301410	46302752
NC358	Gene2	exon	46302845	46303122
NC358	Gene2	exon	46306115	46306146
NC358	Gene2	exon	46306246	46306652
NC358	Gene2	exon	46306757	46307452
NC358	Gene2	three_prime_UTR	46307204	46307452
NC358	Gene3	Zm00037a017787	46532116	46538141
NC358	Gene3	five_prime_UTR	46532116	46532532
NC358	Gene3	exon	46532116	46532773
NC358	Gene3	exon	46534680	46535599
NC358	Gene3	exon	46535711	46536019
NC358	Gene3	exon	46536096	46536373
NC358	Gene3	exon	46536606	46536637
NC358	Gene3	exon	46536736	46537142
NC358	Gene3	exon	46537285	46538051
NC358	Gene3	three_prime_UTR	46537750	46538051
