trait	pval	eff	std	Nhap1	hap1	Nhap2	hap2	Nhap3	hap3
canopy.LN.6.Jul	0.108941507	-2.141732481	1.329727312	110	29.77621921	63	27.63448673	17	27.58738769
X.1060..pyruvic.acid..6.714.	0.1134293	-0.000373956	0.000235176	114	0.000373956	68	0	16	0
VEG.HN.22.Aug	0.114235667	-0.133320502	0.084019895	109	4.371249556	66	4.237929054	17	4.30057896
X.6255..maltose.1..24.702.	0.117833265	-0.000335557	0.000213607	113	0.003868959	68	0.003533401	16	0.003682655
VARI.HN.22.Aug	0.118581738	-0.011428149	0.007288916	109	0.222883683	66	0.211455534	17	0.184515412
X.892..myo.inositol..19.354..s100	0.120657146	-0.004843128	0.003106821	112	0.056072872	69	0.051229744	16	0.05570249
X.439194..glyceric.acid..10.735.	0.121483919	-0.001562423	0.001004524	113	0.013866848	68	0.012304425	16	0.017810925
X.5988..Sucrose..23.988..s100	0.12190156	-0.126131341	0.081186546	113	0.948115246	69	0.821983905	16	1.021546995
VEG.HN.30.Aug	0.122904971	-0.141878963	0.091557105	109	4.222574499	66	4.080695536	17	4.030929292
HN.Cu	0.124132588	0.491243678	0.31825407	131	11.3408382	74	11.83208188	18	11.27237473
X.6537496..chlorogenic.acid.2..27.18._alt	0.124440945	-0.004137014	0.00268107	114	0.018948831	68	0.014811817	16	0.018470036
TotalKernelVolume	0.124997479	1.537084328	0.998617986	149	59.91190658	89	61.44899091	19	62.3251442
HN.CHL	0.126286788	7.704828684	5.020819946	133	396.7717332	78	404.4765619	18	394.4458014
G_DW	0.127522485	-0.696375518	0.454989172	112	8.048839286	69	7.352463768	15	7.024666667
HN_LN.B	0.128950013	-0.054882503	0.035995218	119	1.16721206	63	1.112329556	16	1.141504754
X.8742..shikimic.acid..16.433..s100	0.133723844	-0.004370705	0.002902421	112	0.037348632	69	0.032977927	16	0.032113975
X.6912..xylitol..15.376.	0.134718789	-0.000386528	0.000256856	78	0.002248994	45	0.001862466	14	0.002266111
LN.DW	0.138113588	0.199757948	0.134217737	127	5.884508136	76	6.084266084	18	5.6122323
LN.K	0.145483981	0.045621083	0.031231657	133	2.212595087	77	2.258216171	18	2.086832298
X.938..nicotinic.acid..10.27.	0.147323823	-0.000142178	9.77E-05	105	0.000925691	65	0.000783512	16	0.001003943
HN_LN.X20KW	0.147925454	-0.029239679	0.020121208	100	1.05786439	69	1.028624711	13	1.017520975
VARI.HN.12.Aug	0.148723425	-0.011732065	0.008091229	109	0.28758834	66	0.275856275	17	0.244850346
X.700..ethanolamine..9.879.	0.157687165	-0.001057731	0.000745692	112	0.006612917	66	0.005555186	16	0.005784633
X.60961..adenosine..23.825.	0.160887341	-7.77E-05	5.52E-05	113	0.000351307	68	0.000273591	16	0.000431981
MGR.HN.22.Aug	0.162514827	-0.011350196	0.008094931	109	0.250870826	66	0.23952063	17	0.208530833
NGR.HN.22.Aug	0.162625881	-0.005701266	0.004067209	109	0.125728327	66	0.120027061	17	0.104480197
G_LWC	0.163797407	0.007730826	0.005530861	111	0.757805405	69	0.765536232	15	0.758806667
ExG.HN.16.Aug	0.172183388	0.009519233	0.00694625	109	0.510673228	66	0.520192461	17	0.519649272
X.6255..maltose..2..24.915.	0.174898525	-0.000433646	0.000318388	106	0.003612468	62	0.003178822	15	0.003835804
canopy.LN.20.Aug	0.175348953	-4.096194407	3.011078233	110	51.42779477	63	47.33160036	17	47.64868143
LN.X20KW	0.182380801	0.146395499	0.10937839	107	4.597035882	69	4.743431381	14	4.622472827
RGB.HN.16.Aug	0.182453343	0.012751428	0.009529105	109	0.750550679	66	0.763302107	17	0.764163707
RGB.LN.6.Jul	0.18416633	-0.008837773	0.006629366	106	0.31904623	61	0.310208457	17	0.307563253
GLI.HN.16.Aug	0.184542938	0.006519171	0.004895155	109	0.375042414	66	0.381561585	17	0.382151436
LN.CL	0.192499308	-0.149612291	0.114441699	127	12.01910991	74	11.86949762	17	11.98658115
GDDAnthesis.SilkingInterval	0.194710965	-2.266437202	1.743353086	157	23.99809177	91	21.73165456	21	24.28695568
canopy.LN.14.Aug	0.194968581	-4.123700954	3.170419336	110	53.41284187	63	49.28914092	17	46.576755
VARI.HN.23.Aug	0.195799079	-0.011728072	0.009034073	109	0.260254872	66	0.2485268	17	0.207962945
X.448388..D.allose.1..17.278.	0.197421336	-7.01E-05	5.42E-05	112	0.000877396	67	0.000807327	16	0.000987212
VEG.HN.26.Aug	0.198831718	-0.145865413	0.113125807	109	4.541110263	66	4.395244849	17	4.703382256
VARI.HN.30.Aug	0.203118604	-0.01087432	0.008514569	109	0.182776487	66	0.171902167	17	0.147160103
EarWeight	0.210880047	2.420566409	1.929974271	156	64.45552386	90	66.87609027	21	60.4045731
VEG.HN.12.Aug	0.213160621	-0.1213836	0.09717414	109	4.683557282	66	4.562173682	17	4.716659872
MGR.HN.12.Aug	0.216532021	-0.01130437	0.009116812	109	0.325565079	66	0.31426071	17	0.278214503
NGR.HN.12.Aug	0.216730781	-0.005692649	0.004593034	109	0.163322085	66	0.157629437	17	0.13952055
GLI.LN.6.Jul	0.217367653	-0.004879683	0.003942	106	0.168619756	61	0.163740073	17	0.162773294
HN.CL	0.218340808	-0.208686122	0.169038732	126	12.39312639	75	12.18444027	18	12.02956356
HN.LA	0.220404867	35.7450413	29.08848605	133	1228.00408	79	1263.749121	18	1174.119959
canopy.LN.16.Aug	0.220585281	-3.60762471	2.935218007	110	50.89076759	63	47.28314288	17	43.98543457
canopy.LN.30.Aug	0.221178652	-3.927396917	3.199515325	110	52.20609493	63	48.27869801	17	43.22952057
Woebbecke.HN.16.Aug	0.221409634	-0.650581522	0.53029136	109	10.50107823	66	9.850496703	17	11.05814776
X.750..glycine..10.456..s100	0.222401685	0.022472399	0.018358713	113	0.155306479	69	0.177778878	16	0.16893746
Woebbecke.LN.5.Sep	0.225299368	-0.895102713	0.735756487	110	16.53361786	63	15.63851515	17	18.50298347
VEG.HN.23.Aug	0.228217653	-0.09416859	0.077897137	109	3.668708757	66	3.574540168	17	3.582049272
X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65.	0.231747242	8.41E-05	7.01E-05	112	0.000262891	68	0.000347032	16	0.000320886
X.637542..4.hydroxycinnamic.acid..17.854.	0.233604431	0.000343282	0.000287302	113	0.002688632	68	0.003031915	16	0.002362918
G_Mg	0.236166756	-0.022054865	0.01855967	112	0.273214286	69	0.25115942	15	0.226666667
NGR.HN.30.Aug	0.237101179	-0.005655906	0.004768791	109	0.103969462	66	0.098313556	17	0.084205944
MGR.HN.30.Aug	0.237420897	-0.011263186	0.009503081	109	0.20749739	66	0.196234204	17	0.16806869
VARI.LN.22.Aug	0.242522618	-0.007590012	0.006473837	110	0.163814773	63	0.156224761	17	0.136905891
X.439183..3.phosphoglyceric.acid..16.504.	0.242733298	0.000528089	0.000450683	113	0.004638101	68	0.00516619	16	0.005991137
ExG.LN.6.Jul	0.242798229	-0.007232607	0.006171966	106	0.245547484	61	0.238314877	17	0.237597929
LN.B	0.2482202	-0.390671572	0.33739675	126	14.76290927	70	14.3722377	17	14.65075472
canopy.LN.22.Aug	0.249039349	-3.394334265	2.935549564	110	51.58671779	63	48.19238353	17	45.07732617
X.6288..L.threonine.2..11.464.	0.254689721	0.001465697	0.001282982	113	0.014335058	68	0.015800755	16	0.016575585
canopy.LN.23.Aug	0.255423374	-3.348290111	2.935107076	110	56.48117944	63	53.13288933	17	50.60479958
VARI.HN.26.Aug	0.258501027	-0.013700243	0.012088224	109	0.250557015	66	0.236856773	17	0.228943427
X.6537496..chlorogenic.acid.2..27.18..s100	0.259771266	0.00295784	0.002616588	109	0.008637831	66	0.011595671	12	0.004777081
VEG.HN.5.Sep	0.263908777	-0.09104177	0.081248674	109	3.54471743	66	3.45367566	17	3.444142353
NGR.LN.20.Aug	0.266827442	-0.004568753	0.004102234	110	0.091108808	63	0.086540054	17	0.069213155
NGR.HN.23.Aug	0.267597208	-0.005642987	0.005075124	109	0.150146318	66	0.144503331	17	0.121121722
MGR.HN.23.Aug	0.268413206	-0.011135957	0.010032476	109	0.29862894	66	0.287492983	17	0.241109436
MGR.LN.20.Aug	0.268723627	-0.009043556	0.00815246	110	0.181552558	63	0.172509002	17	0.137978483
VEG.HN.3.Sep	0.274443837	-0.142273774	0.129803826	109	5.588475526	66	5.446201753	17	5.741484493
PlantHeight	0.274632197	2.863462298	2.615717196	157	135.3924693	91	138.2559316	21	122.1006233
NGR.LN.22.Aug	0.274973715	-0.003917877	0.003578334	110	0.095008526	63	0.09109065	17	0.079385921
MGR.LN.22.Aug	0.275768367	-0.00779198	0.007128515	110	0.189575397	63	0.181783417	17	0.158472473
VARI.LN.20.Aug	0.277794801	-0.008150751	0.007488363	110	0.155536846	63	0.147386095	17	0.117165141
X.444266..maleic.acid..10.323.	0.284007128	7.06E-06	6.57E-06	111	4.88E-05	67	5.59E-05	16	4.49E-05
GLI.LN.20.Aug	0.28559624	-0.002883216	0.002692339	110	0.187502423	63	0.184619207	17	0.171208168
VARI.HN.5.Sep	0.29315982	-0.010427835	0.009892171	109	0.182311962	66	0.171884127	17	0.166343713
NGR.HN.5.Sep	0.293334343	-0.005619218	0.005332499	109	0.102830196	66	0.097210978	17	0.094247164
ExG.LN.20.Aug	0.296118817	-0.003946426	0.003766672	110	0.257064367	63	0.25311794	17	0.234365962
MGR.HN.5.Sep	0.296514799	-0.011075095	0.010579647	109	0.204595853	66	0.193520759	17	0.187587131
Woebbecke.LN.3.Sep	0.298592379	-0.80808229	0.775246019	110	22.38661181	63	21.57852952	17	23.99545529
EarRankNumber	0.300320665	0.301131775	0.290155069	154	21.29620851	87	21.59734028	20	21.32014749
RGB.LN.20.Aug	0.314334557	-0.005161926	0.005116478	110	0.381322909	63	0.376160983	17	0.349852856
X.6262..L.ornithine.2..16.632.	0.314358599	0.00084407	0.000836761	113	0.00551769	68	0.00636176	16	0.006530839
HN_LN.Fe	0.327556886	0.015155486	0.015445698	132	1.351576346	75	1.366731832	18	1.354006956
canopy.LN.26.Aug	0.333008325	-2.796623999	2.881377579	110	56.93144557	63	54.13482157	17	49.59965523
X.2116..alpha.tocophereol..27.379.	0.337952967	-0.000158761	0.000165213	101	0.001264719	60	0.001105959	11	0.001801637
X.439451..galactinol.2..26.479.	0.33873868	0.001845278	0.001924139	114	0.015950027	68	0.017795305	16	0.017173857
RGB.LN.26.Aug	0.338772552	0.007504454	0.007824894	110	0.541573655	63	0.54907811	17	0.526219138
X.642609..trans.caftaric.acid.2..25.529.	0.338780087	-0.00061122	0.000637207	101	0.001935326	61	0.001324106	15	0.002154106
X.9750..citrulline.2..16.691.	0.339543898	0.000380053	0.000396953	113	0.002376974	68	0.002757027	16	0.00273359
X.444972..fumaric.acid..10.94.	0.340457028	0.000660253	0.000690921	113	0.007330907	68	0.00799116	16	0.006944639
X.1001..phenethylamine..13.742.	0.340871329	-0.000332058	0.000347781	114	0.001746091	67	0.001414033	16	0.000816554
GLI.HN.5.Sep	0.341304884	-0.003067816	0.003215758	109	0.185975575	66	0.182907758	17	0.181280081
X.6508..quinic.acid..17.076..s100	0.345013241	-0.006706249	0.007084373	112	0.037923292	68	0.031217043	16	0.016828853
X.6106..L.leucine.2..9.945.	0.348775399	-0.001067472	0.001136528	114	0.005999276	68	0.004931803	15	0.006953733
G_FW	0.351389702	-2.151684293	2.303311948	111	34.24009009	69	32.0884058	15	30.45333333
ExG.HN.5.Sep	0.351884783	-0.004190524	0.004490278	109	0.254275414	66	0.25008489	17	0.24783235
HN_LN.CW	0.352096858	-0.019088464	0.020466175	117	1.080232036	71	1.061143573	17	1.006797821
MGR.HN.26.Aug	0.359061331	-0.012795294	0.013917093	109	0.291922132	66	0.279126838	17	0.267485091
NGR.HN.26.Aug	0.359577025	-0.006445615	0.007018265	109	0.146684372	66	0.140238757	17	0.134387944
Spikelets.PrimaryBranch	0.360432312	-0.342108993	0.373428958	156	15.54555533	91	15.20344634	21	14.44860228
X.311..citric.acid..16.615..s100	0.36349648	-0.001481926	0.001626903	110	0.023418675	69	0.021936749	16	0.025587574
LN.LA	0.365680506	20.7291942	22.86854661	130	1074.55433	77	1095.283525	18	1019.564205
HN_LN.Mn	0.368674842	0.046974155	0.052117458	108	1.361983822	57	1.408957977	11	1.330690815
LeafWidth	0.372846169	1.424585332	1.595888122	157	85.46526308	91	86.88984841	21	80.43393032
VEG.LN.16.Aug	0.374816277	-0.179259972	0.201503127	110	6.788337432	63	6.60907746	17	7.397901471
RGB.HN.5.Sep	0.375905415	-0.005434217	0.006122646	109	0.376565748	66	0.371131531	17	0.367915261
LN.Cu	0.378837206	0.194471284	0.220466633	117	6.65577223	66	6.850243514	11	6.753345096
X.1549111..caffeic.acid..19.755.	0.382638338	-0.000673921	0.00077013	112	0.009871005	65	0.009197085	16	0.011240214
HN_LN.P	0.384967652	-0.008885357	0.010207099	130	1.004194342	76	0.995308985	18	1.02623944
HN_LN.Cu	0.386067066	0.040438883	0.046543586	115	1.704686895	61	1.745125778	11	1.658726045
VEG.LN.22.Aug	0.386201422	-0.0813273	0.093634684	110	3.667009364	63	3.585682063	17	3.834665265
NGR.LN.14.Aug	0.39310585	-0.002871672	0.003354847	110	0.079161946	63	0.076290274	17	0.070007699
MGR.LN.14.Aug	0.393619555	-0.00570114	0.006667638	110	0.157769513	63	0.152068373	17	0.139594603
X.5460935..turanose.1..24.81.	0.406027574	-0.000373226	0.000448131	103	0.002384946	67	0.00201172	14	0.002345521
Woebbecke.LN.30.Aug	0.40672468	-0.732891147	0.881357595	110	20.009969	63	19.27707786	17	23.93820471
HN_LN.FW	0.410654869	0.028025955	0.033995447	119	1.285168937	74	1.313194892	18	1.324329707
canopy.HN.6.Jul	0.411388674	-1.257483167	1.527413943	109	35.78091603	66	34.52343286	17	31.21003032
VARI.LN.14.Aug	0.412035442	-0.004874386	0.005928788	110	0.132650515	63	0.127776129	17	0.117695218
X.439958..D.glucose.6.phosphate.1..21.394.	0.412386043	-0.000785951	0.00095676	113	0.017959873	68	0.017173922	16	0.01756816
X.5280450..linoleic.acid..20.399.	0.416357715	-0.000131219	0.000161081	105	0.001036941	65	0.000905723	15	0.000636582
LN.P	0.42137692	0.002850003	0.003538055	131	0.297043306	76	0.299893308	18	0.290735066
X.5810..trans.4.hydroxy.L.proline.2..13.267.	0.422689845	-0.000198608	0.000247189	113	0.001270406	68	0.001071798	16	0.000611349
Woebbecke.LN.14.Aug	0.422889809	0.567042341	0.705995691	110	13.7367664	63	14.30380875	17	17.15076347
HN.Ca	0.425034782	-0.007393281	0.009250897	129	0.415541966	77	0.408148684	18	0.41414548
X.92824..D.malic.acid..12.794..s100	0.429945668	-0.001675087	0.002117824	112	0.028149811	68	0.026474723	16	0.022959031
ExG.LN.26.Aug	0.434374353	0.004490812	0.005732351	110	0.364478645	63	0.368969456	17	0.352856029
GLI.LN.26.Aug	0.434498099	0.003181429	0.004062069	110	0.26445342	63	0.267634848	17	0.256856706
TasselLength	0.44070684	4.168553681	5.398582012	157	324.594511	91	328.7630646	21	308.7021569
X.754..glycerol.1.phosphate..16.056.	0.442130573	-0.003144029	0.004082248	114	0.01942135	68	0.016277321	16	0.018005414
NIROil	0.445188317	-0.063832823	0.083483014	154	4.352012469	90	4.288179646	20	4.633521078
TasselPrimaryBranches	0.446133545	0.464821084	0.609193928	157	10.9727991	91	11.43762018	21	10.02709121
RGB.LN.3.Sep	0.453197238	0.006458769	0.008592611	110	0.503703914	63	0.510162683	17	0.501427003
RGB.LN.5.Sep	0.453481547	0.003813273	0.005076297	110	0.347139642	63	0.350952915	17	0.344033009
Woebbecke.LN.16.Aug	0.462564079	-0.324370422	0.440633085	110	10.81894141	63	10.49457099	17	11.61540709
HN.S	0.46589194	-0.001252353	0.00171456	132	0.184176321	78	0.182923969	18	0.191220086
LN.CHL	0.467479733	3.417133231	4.694872742	129	279.5624963	77	282.9796295	18	284.7412353
HN_LN.CD	0.481661721	-0.005289678	0.007503764	117	1.004139939	71	0.998850261	17	0.967145264
HN.X20KW	0.484346117	0.059747427	0.085277096	116	4.779083393	73	4.83883082	15	4.748323021
HN.Fe	0.484655352	0.59770243	0.853876505	133	101.061287	78	101.6589895	18	103.3754255
ExG.LN.5.Sep	0.484780577	0.002623201	0.003747287	110	0.232310675	63	0.234933876	17	0.229816638
TilleringIndex	0.485951491	0.005031919	0.007211777	157	0.57686743	91	0.581899349	21	0.596588395
ExG.LN.3.Sep	0.492828341	0.004235292	0.006163403	110	0.337482234	63	0.341717526	17	0.335692703
RGB.HN.20.Aug	0.493932864	0.004774378	0.006965851	109	0.410154478	66	0.414928855	17	0.397705285
GLI.HN.30.Aug	0.497998208	-0.002111499	0.003109933	109	0.212043898	66	0.2099324	17	0.198359863
GLI.LN.3.Sep	0.50154543	0.003019687	0.004484462	110	0.246988965	63	0.250008652	17	0.246130403
GLI.LN.5.Sep	0.50416058	0.001814588	0.00271137	110	0.169651443	63	0.171466031	17	0.16804375
Woebbecke.HN.6.Jul	0.505945106	0.096861651	0.145335207	107	3.836888222	63	3.933749873	17	4.145833445
VARI.HN.1.Sep	0.510889135	-0.00607571	0.009223769	109	0.15953165	66	0.15345594	17	0.134590666
VARI.LN.23.Aug	0.511276719	-0.004626095	0.007029362	110	0.191338608	63	0.186712513	17	0.171931614
RowQuality	0.513021039	0.008624855	0.013167253	157	2.186722886	91	2.19534774	20	2.216730048
canopy.LN.1.Sep	0.515286102	-2.240338886	3.436793351	110	49.3814332	63	47.14109432	17	41.61374999
X.5321342..beta.sitosterol..28.848.	0.521785613	0.000213737	0.000332884	92	0.003655391	53	0.003869127	11	0.003525654
canopy.HN.26.Aug	0.522667999	-2.036537752	3.179947855	109	60.58364545	66	58.5471077	17	51.23698368
VARI.HN.3.Sep	0.523035725	-0.011493082	0.01796175	109	0.307132468	66	0.295639386	17	0.320440191
ExG.HN.30.Aug	0.528623596	-0.002729501	0.004323792	109	0.288838083	66	0.286108582	17	0.270126431
canopy.HN.14.Aug	0.529697631	-2.171169747	3.448331047	109	52.37321227	66	50.20204253	17	45.03176897
X.239..Beta..alanine..1..12.044.	0.530872093	0.000544618	0.0008675	113	0.005279206	68	0.005823825	16	0.006055027
X.5960..aspartic.acid.2..13.207.	0.530896373	0.001457597	0.002321863	113	0.073520001	67	0.074977598	16	0.069983037
NGR.HN.1.Sep	0.532326515	-0.003171385	0.005069281	109	0.089908466	66	0.086737081	17	0.076251436
MGR.HN.1.Sep	0.533420419	-0.006304322	0.010104078	109	0.17944924	66	0.173144918	17	0.152209899
VEG.HN.20.Aug	0.536336041	-0.054608508	0.088149962	109	3.784053167	66	3.72944466	17	3.823935572
ExG.HN.20.Aug	0.54612589	0.00306349	0.005066414	109	0.278075219	66	0.281138709	17	0.269070333
ExG.LN.14.Aug	0.548077048	-0.001846011	0.003067796	110	0.245769084	63	0.243923073	17	0.236184147
GLI.LN.14.Aug	0.552172517	-0.00129435	0.002173241	110	0.178991618	63	0.177697267	17	0.172403738
G_Cu	0.553011465	-0.527950311	0.888365496	112	12.57142857	69	12.04347826	15	11.06666667
NGR.HN.3.Sep	0.557451375	-0.005642177	0.009600831	109	0.169057795	66	0.163415618	17	0.175988952
MGR.HN.3.Sep	0.558716159	-0.011185825	0.019095314	109	0.336911039	66	0.325725214	17	0.35067676
X.439742..beta.cyano.L.alanine..11.288.	0.561615668	0.00098957	0.001701932	114	0.004937649	68	0.00592722	16	0.009768166
canopy.HN.12.Aug	0.562472653	-1.873424625	3.228944141	109	57.37760778	66	55.50418315	17	48.58564935
NGR.LN.23.Aug	0.563094399	-0.002240833	0.003868277	110	0.114277387	63	0.112036555	17	0.102135257
GLI.HN.20.Aug	0.563263637	0.002095611	0.003619224	109	0.203447406	66	0.205543017	17	0.196975552
MGR.LN.23.Aug	0.564440961	-0.004427769	0.00766998	110	0.227412724	63	0.222984956	17	0.203447389
HN.Mg	0.566499229	-0.003274644	0.005704301	132	0.207639733	77	0.204365089	18	0.20758035
RGB.HN.30.Aug	0.56851079	-0.003395419	0.00594387	109	0.429826719	66	0.426431301	17	0.403796004
VARI.LN.1.Sep	0.573112157	-0.004276172	0.00757558	110	0.131497802	63	0.12722163	17	0.112500633
RGB.LN.16.Aug	0.575572338	0.004185169	0.007462213	110	0.735340316	63	0.739525486	17	0.717479026
X.5460673..D.saccharic.acid..18.614.	0.577932196	8.42E-05	0.000151136	110	0.001203999	67	0.001288237	16	0.00159466
X.971..oxalic.acid..7.883.	0.578036918	-1.10E-05	1.97E-05	112	0.000243226	66	0.000232223	16	0.000289188
NGR.LN.1.Sep	0.581513597	-0.002301303	0.004167991	110	0.075516731	63	0.073215428	17	0.064725876
X.6287..L.valine.2..9.151.	0.582282381	-0.000823398	0.001494415	113	0.016130846	68	0.015307448	15	0.020541058
RGB.LN.30.Aug	0.582308228	0.002552522	0.004632734	110	0.39456656	63	0.397119083	17	0.372484124
MGR.LN.1.Sep	0.582642394	-0.004576124	0.008312865	110	0.150760147	63	0.146184023	17	0.129253811
VARI.HN.16.Aug	0.583050102	-0.010780236	0.019604666	109	0.704893312	66	0.694113076	17	0.71259683
VARI.LN.12.Aug	0.586382717	-0.003743374	0.006868206	110	0.21928478	63	0.215541406	17	0.196242532
canopy.LN.5.Sep	0.586768317	-1.695381741	3.113833367	110	41.31040514	63	39.6150234	17	33.24433885
canopy.HN.23.Aug	0.588066932	-1.751275673	3.227757256	109	59.65002299	66	57.89874732	17	49.86368027
VEG.HN.6.Jul	0.589764101	0.012171223	0.022534094	107	1.698276094	63	1.710447317	17	1.619612622
VEG.LN.1.Sep	0.592546102	-0.055203112	0.102977114	110	3.654866009	63	3.599662897	17	3.745993265
Woebbecke.HN.5.Sep	0.592723594	-0.419511445	0.78295607	109	15.45815695	66	15.0386455	17	16.04825223
Woebbecke.HN.22.Aug	0.602009687	0.361090728	0.691226555	109	15.20216693	66	15.56325766	17	19.0358965
canopy.LN.3.Sep	0.604953645	-1.366648655	2.637462873	110	41.64061149	63	40.27396283	17	34.46943949
Woebbecke.HN.3.Sep	0.606087646	-0.443717982	0.859035056	109	20.2618661	66	19.81814812	17	20.51075548
RGB.LN.14.Aug	0.606487271	-0.002104096	0.00407797	110	0.365405699	63	0.363301602	17	0.352292626
ExG.LN.16.Aug	0.606640134	0.002792314	0.005414113	110	0.502205669	63	0.504997983	17	0.488423829
HN_LN.CHL	0.606971793	0.011537455	0.022396845	130	1.431662376	76	1.443199831	18	1.396112977
VEG.HN.14.Aug	0.613595239	-0.043198541	0.085408482	109	3.526120652	66	3.482922111	17	3.529492713
VARI.LN.16.Aug	0.61377387	-0.00920695	0.018212053	110	0.562026455	63	0.552819505	17	0.554679491
Woebbecke.HN.12.Aug	0.615435544	0.348747005	0.693109387	109	13.31030312	66	13.65905013	17	17.06536312
HN.CW	0.616152152	-0.163581466	0.325825907	123	13.5774597	75	13.41387824	17	12.25614067
ExG.LN.30.Aug	0.623394758	0.001677304	0.00341012	110	0.263151705	63	0.264829009	17	0.247261868
VEG.LN.30.Aug	0.633403673	-0.040889876	0.085592865	110	3.503639432	63	3.462749556	17	3.5519185
MainSpikeLength	0.63411933	2.181826464	4.578993684	157	229.2169146	91	231.398741	21	225.1600013
X.6537496..chlorogenic.acid.1..26.37.	0.63710818	-0.00036284	0.000767932	114	0.001924923	67	0.001562083	16	0.001387116
NGR.LN.12.Aug	0.637908093	-0.001767249	0.003748977	110	0.128467935	63	0.126700686	17	0.114521773
MGR.LN.12.Aug	0.638112396	-0.003511409	0.007453505	110	0.256065572	63	0.252554163	17	0.228389406
