ID	Q1	Q2	Q3	Haplotype
MEF156-55-2	0.681544	0.318446	1.00E-05	0
Mo17	0.989061	0.010929	1.00E-05	3
Mo18W	1.00E-05	1.00E-05	0.99998	1
Mo44	1.00E-05	1.00E-05	0.99998	1
Mo45	1.00E-05	1.00E-05	0.99998	1
Mo46	1.00E-05	0.006339	0.993651	1
Mo47	1.00E-05	1.00E-05	0.99998	1
MS1334	0.987669	0.012321	1.00E-05	3
MS153	0.99998	1.00E-05	1.00E-05	3
Mt42	0.985796	0.014194	1.00E-05	3
N192	0.99998	1.00E-05	1.00E-05	3
N28Ht	1.00E-05	1.00E-05	0.99998	1
Oh40B	0.99998	1.00E-05	1.00E-05	3
Oh43E	0.99998	1.00E-05	1.00E-05	3
Oh603	0.010058	0.024412	0.965531	1
Os420	0.990866	1.00E-05	0.009124	3
Pa762	0.99998	1.00E-05	1.00E-05	3
Pa875	1.00E-05	1.00E-05	0.99998	1
R168	0.957777	0.018167	0.024056	3
R177	0.996277	0.003713	1.00E-05	3
SA24	1.00E-05	1.00E-05	0.99998	1
SC213R	0.99998	1.00E-05	1.00E-05	3
SC357	0.99997	2.00E-05	1.00E-05	3
SC55	1.00E-05	0.036279	0.963711	1
SD40	1.00E-05	1.00E-05	0.99998	1
T232	1.00E-05	1.00E-05	0.99998	1
T234	0.99998	1.00E-05	1.00E-05	3
T8	1.00E-05	1.00E-05	0.99998	1
Va22	1.00E-05	0.018452	0.981538	1
Va26	0.99998	1.00E-05	1.00E-05	3
Va85	0.99998	1.00E-05	1.00E-05	3
W153R	0.99998	1.00E-05	1.00E-05	3
W182B	0.989665	0.002386	0.007949	3
Wf9	0.004068	0.017043	0.978889	1
german-Teosinte	1.00E-05	0.143698	0.856292	1
Dan9046	0.99998	1.00E-05	1.00E-05	3
Xu052	1.00E-05	1.00E-05	0.99998	1
Baihunhuang	0.99998	1.00E-05	1.00E-05	3
DH65232	0.187986	1.00E-05	0.812004	1
A801	1.00E-05	1.00E-05	0.99998	1
LD61	0.99998	1.00E-05	1.00E-05	3
Dan99chang	0.99998	1.00E-05	1.00E-05	3
Dan341	1.00E-05	1.00E-05	0.99998	1
Xinaiguang10	0.99998	1.00E-05	1.00E-05	3
Cheng687	0.004612	1.00E-05	0.995378	1
Hai1134	0.991568	0.008422	1.00E-05	3
Tai184	0.992396	1.00E-05	0.007594	3
334-1	1.00E-05	1.00E-05	0.99998	1
Baihe43	0.715713	0.284277	1.00E-05	3
Lv10	0.99998	1.00E-05	1.00E-05	3
Liao2202	1.00E-05	1.00E-05	0.99998	1
Hua94	1.00E-05	0.008761	0.991229	1
Dahuang46	0.725576	0.274414	1.00E-05	3
Ji876	0.99998	1.00E-05	1.00E-05	3
Zaodahuang	0.99998	1.00E-05	1.00E-05	3
Dong17	1.00E-05	1.00E-05	0.99998	1
Ken44	0.99998	1.00E-05	1.00E-05	3
Diangu11A	0.813521	1.00E-05	0.186469	3
Longkang1	0.995058	0.004932	1.00E-05	3
618	0.99998	1.00E-05	1.00E-05	3
Yuanwu02	1.00E-05	1.00E-05	0.99998	1
Qi35	1.50E-05	1.00E-05	0.999975	1
Yuanqi123	1.00E-05	0.010114	0.989876	1
Aijin525	1.00E-05	1.00E-05	0.99998	1
27-263	0.99998	1.00E-05	1.00E-05	3
75-1	0.03908	1.00E-05	0.96091	1
Wu105	0.831216	0.168774	1.00E-05	3
Aiji205	1.00E-05	1.00E-05	0.99998	1
Weifeng322	1.00E-05	1.00E-05	0.99998	1
K14	0.001094	0.007638	0.991268	1
Tian4	0.003404	1.00E-05	0.996586	1
ZhongKe11M	0.011624	0.001343	0.987033	1
Yu82	0.003273	0.015723	0.981004	1
3H-2	1.00E-05	0.011511	0.988479	1
Shuang741	0.009412	0.001232	0.989356	1
PH6WC	0.99998	1.00E-05	1.00E-05	3
PH09B	0.99998	1.00E-05	1.00E-05	3
Ye502	1.00E-05	1.00E-05	0.99998	1
Ji53	1.00E-05	1.00E-05	0.99998	1
DMY1M	1.00E-05	1.00E-05	0.99998	1
DMY2F	0.00145	0.011094	0.987456	1
DMY2M	0.692521	0.307469	1.00E-05	0
DMY3F	1.20E-05	1.00E-05	0.999978	1
DMY3M	0.692641	0.307349	1.00E-05	0
PH12TB	1.00E-05	1.00E-05	0.99998	1
KWS8855F	1.00E-05	1.00E-05	0.99998	1
KWS8855M	0.99998	1.00E-05	1.00E-05	3
Ay420	1.00E-05	1.00E-05	0.99998	1
S7913	1.00E-05	1.00E-05	0.99998	1
Luosu3	0.99998	1.00E-05	1.00E-05	3
DH40	1.00E-05	1.00E-05	0.99998	1
PHB1M	1.00E-05	1.00E-05	0.99998	1
PH11V8	0.99998	1.00E-05	1.00E-05	3
HN887M	1.00E-05	1.00E-05	0.99998	1
DMY1F	1.00E-05	1.00E-05	0.99998	1
PH4CV	1.00E-05	0.007453	0.992537	1
DK516M	0.99998	1.00E-05	1.00E-05	3
8723	0.99998	1.00E-05	1.00E-05	3
Baiye4	1.00E-05	1.00E-05	0.99998	1
DH605M	1.00E-05	1.00E-05	0.99998	1
LP206M	0.99998	1.00E-05	1.00E-05	3
LY88M	1.00E-05	1.00E-05	0.99998	1
Hua160	0.008235	0.008191	0.983574	1
DK517F	1.00E-05	1.00E-05	0.99998	1
83B28	0.99998	1.00E-05	1.00E-05	3
5003	0.008315	0.029357	0.962328	1
Wu109	0.798731	0.201259	1.00E-05	3
87-1	1.00E-05	1.00E-05	0.99998	1
Zong31	0.99998	1.00E-05	1.00E-05	3
Lv28	1.00E-05	1.00E-05	0.99998	1
18-599	1.00E-05	1.00E-05	0.99998	1
81162	1.00E-05	1.00E-05	0.99998	1
5005	1.00E-05	1.00E-05	0.99998	1
7884-7Ht	0.99998	1.00E-05	1.00E-05	3
Huangyesi3	1.00E-05	1.00E-05	0.99998	1
Huotanghuang17	1.00E-05	1.00E-05	0.99998	1
9058	0.99998	1.00E-05	1.00E-05	3
Huobai	0.99998	1.00E-05	1.00E-05	3
Longkang11	0.99998	1.00E-05	1.00E-05	3
698-3	1.00E-05	1.00E-05	0.99998	1
Qi319	0.99998	1.00E-05	1.00E-05	3
Shen137	0.99998	1.00E-05	1.00E-05	3
P138	0.99998	1.00E-05	1.00E-05	3
Ji846	0.99998	1.00E-05	1.00E-05	3
196	1.00E-05	1.00E-05	0.99998	1
Tangsipingtou	1.00E-05	1.00E-05	0.99998	1
Ji853	1.70E-05	1.00E-05	0.999973	1
Jing7	0.003535	1.00E-05	0.996455	1
444	1.00E-05	1.00E-05	0.99998	1
K12	1.00E-05	1.00E-05	0.99998	1
515	1.50E-05	1.00E-05	0.999975	1
K10	0.99998	1.00E-05	1.00E-05	3
Dong46	1.00E-05	1.00E-05	0.99998	1
Luyuan92	0.99998	1.00E-05	1.00E-05	3
48-2	1.00E-05	1.00E-05	0.99998	1
Lv9kuan	0.99998	1.00E-05	1.00E-05	3
Chang3	0.99998	1.00E-05	1.00E-05	3
Dong237	0.99998	1.00E-05	1.00E-05	3
Ji63	0.726156	0.273834	1.00E-05	3
S37	1.00E-05	1.00E-05	0.99998	1
E28	0.99998	1.00E-05	1.00E-05	3
Dan340	0.99998	1.00E-05	1.00E-05	3
Zheng22	1.00E-05	1.00E-05	0.99998	1
Qi205	0.878182	1.00E-05	0.121808	3
Ye107	1.00E-05	1.00E-05	0.99998	1
32	1.00E-05	1.00E-05	0.99998	1
Denghai4866	1.00E-05	1.00E-05	0.99998	1
Q1261	0.723345	0.276645	1.00E-05	3
Xun92-8	1.00E-05	1.00E-05	0.99998	1
HD586	0.99998	1.00E-05	1.00E-05	3
Huangzaosi	1.00E-05	1.00E-05	0.99998	1
178	1.00E-05	1.00E-05	0.99998	1
WeiKe702F	1.00E-05	1.00E-05	0.99998	1
WeiKe702M	1.00E-05	1.00E-05	0.99998	1
LiYu16F	0.99998	1.00E-05	1.00E-05	3
LiYu16M	0.99998	1.00E-05	1.00E-05	3
YuYu30F	1.10E-05	1.00E-05	0.999979	1
YuYu30M	0.177045	1.00E-05	0.822945	1
ZhongKe4M	0.99998	1.00E-05	1.00E-05	3
DK516F	0.99998	1.00E-05	1.00E-05	3
DK517M	0.99998	1.00E-05	1.00E-05	3
Dan598	0.726779	0.273211	1.00E-05	3
8112	0.029634	0.020138	0.950228	1
H49	1.00E-05	1.00E-05	0.99998	1
H95	1.00E-05	1.00E-05	0.99998	1
R168	0.99998	1.00E-05	1.00E-05	3
Mt42	0.999975	1.50E-05	1.00E-05	3
N6	1.00E-05	1.00E-05	0.99998	1
W22	1.00E-05	1.00E-05	0.99998	1
R177	0.99998	1.00E-05	1.00E-05	3
B57	1.00E-05	1.00E-05	0.99998	1
Yan414	0.99998	1.00E-05	1.00E-05	3
446	0.99998	1.00E-05	1.00E-05	3
812	0.99998	1.00E-05	1.00E-05	3
4F1	0.723098	0.276892	1.00E-05	3
4112	1.00E-05	1.00E-05	0.99998	1
Hai014	1.60E-05	1.00E-05	0.999974	1
434	1.00E-05	1.00E-05	0.99998	1
Wenhuang31413	0.99998	1.00E-05	1.00E-05	3
803	0.99998	1.00E-05	1.00E-05	3
832	1.00E-05	1.00E-05	0.99998	1
Chang72	1.30E-05	1.00E-05	0.999977	1
Nan21-3	1.00E-05	1.00E-05	0.99998	1
Ye52106	0.99998	1.00E-05	1.00E-05	3
Suwan1611	0.040312	1.00E-05	0.959678	1
Ji533	0.99998	1.00E-05	1.00E-05	3
7327	1.00E-05	1.00E-05	0.99998	1
Cheng18	0.739035	0.260955	1.00E-05	3
Oh43	0.99998	1.00E-05	1.00E-05	3
Dan599	1.00E-05	1.00E-05	0.99998	1
HZ85	1.00E-05	1.00E-05	0.99998	1
ZaC546	1.00E-05	1.00E-05	0.99998	1
Danhuang02	1.00E-05	1.00E-05	0.99998	1
H152	0.99998	1.00E-05	1.00E-05	3
Huang428	1.00E-05	1.00E-05	0.99998	1
8902	0.779301	1.00E-05	0.220689	3
C8605-2	1.00E-05	1.00E-05	0.99998	1
Ye8001	1.00E-05	1.00E-05	0.99998	1
81565	0.795096	0.204894	1.00E-05	3
Dian11	1.00E-05	1.00E-05	0.99998	1
Ying64	0.99998	1.00E-05	1.00E-05	3
Si273	0.99998	1.00E-05	1.00E-05	3
Liao9586	1.00E-05	1.00E-05	0.99998	1
Dan360	0.99998	1.00E-05	1.00E-05	3
9010	0.99998	1.00E-05	1.00E-05	3
485	1.00E-05	1.00E-05	0.99998	1
5237	1.00E-05	1.00E-05	0.99998	1
H21	1.00E-05	1.00E-05	0.99998	1
Ernan24	0.99998	1.00E-05	1.00E-05	3
HuangC	0.00447	1.00E-05	0.99552	1
Ji842	0.89396	1.00E-05	0.10603	3
Tie7922	0.99998	1.00E-05	1.00E-05	3
Xi14	0.99998	1.00E-05	1.00E-05	3
488	1.00E-05	1.00E-05	0.99998	1
Zi330	0.99998	1.00E-05	1.00E-05	3
Zong3	0.99998	1.00E-05	1.00E-05	3
200B	0.725933	0.274057	1.00E-05	3
B76	0.99998	1.00E-05	1.00E-05	3
H84	0.99998	1.00E-05	1.00E-05	3
Chang7-2	0.024061	1.00E-05	0.975929	1
Mo17	0.909811	0.027976	0.062213	3
478	0.021778	0.021431	0.956791	1
